Curriculum,,,,,,,,,,
Degree Plan,Civil Engineering,,,,,,,,,
Institution,Cornel University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 1910,,,,,,4,,,1
2,CHEM 2090,,,,,,4,,,1
3,ENGRI 1XXX,,,,,,3,,,1
4,First Year Writing Seminar,,,,,,3,,,1
5,PE,,,,,,0,,,1
6,MATH 1920,,,1,,,4,,,2
7,PHYS 1112,,,1,8,,3,,,2
8,PHYS 1110,,,1,,,1,,,2
9,CS 111X,,,,,,4,,,2
10,First year Writing Seminar,,,,,,3,,,2
11,PE,,,,,,0,,,2
12,MATH 2930,,,6,,,4,,,3
13,PHYS 2213,,,7,,,4,,,3
14,ENGRD 2020,,,7,,,4,,,3
15,ENGRD,,,,,,3,,,3
16,Liberal Studies,,,,,,3,,,3
17,MATH 2940,,,6,,,4,,,4
18,PHYS 2214,,,13,12,,3,,,4
19,CE 3710,,,14,17,,4,,,4
20,ENGRD 3200,,,9,17,,4,,,4
21,Liberal Studies,,,,,,3,,,4
22,CEE 3040,,,,27,,3,,,5
23,BEE 2510,,,,,,4,,,5
24,CEE 3310,,,14,,,4,,,5
25,CEE 3410,,,14,,,4,,,5
26,Liberal Studies,,,,,,3,,,5
27,CEE 3230,,,,,,3,,,6
28,MAE 2020 or CEE 4780,,,17,,,3,,,6
29,Eng Comm,,,,,,3,,,6
30,CEE 3610,,,,,,3,,,6
31,Liberal Studies,,,,,,3,,,6
32,Advisor Appr elect,,,,,,3,,,7
33,CEE design Elect,,,,,,3,,,7
34,Major Appr Elect,,,,,,3,,,7
35,Addi Sci,,,,,,0,,,7
36,Liberal Studies,,,,,,3,,,7
37,Advisor Appr elect,,,,,,3,,,8
38,CEE Capstone Design,,,,,,3,,,8
39,Major Appr Elect,,,,,,3,,,8
40,CEE Design Elect,,,,,,3,,,8
41,Liberal Studies,,,,,,3,,,8
