Curriculum,Civil Engineering,,,,,,,,,
Degree Plan,2021-2022,,,,,,,,,
Institution,Purdue University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry,CHM,11500,,,,4,,,1
2,Transforming Ideas To Innovation,ENGR,13100,,,,2,,,1
3,Plane Analytic Geometry & Calculus 1,MA,16100,,1,,5,,,1
4,Oral Communication Selective,,,,,,0,,,1
5,Written Communication Selective,,,,,,3,,,1
6,Modern Mechanics,PHYS,17200,,3,,4,,,2
7,Transforming Ideas To Innovation 2,ENGR,13200,2,,,2,,,2
8,Analytic Geomery and Calculus 2,MA,16200,3,,,5,,,2
9,Written Communication Selective,,,,,,0,,,2
10,Oral Commnuciation Selective,,,,,,3,,,2
11,Science Elective,,,,,,3,,,2
12,Multivariate Calculus,MA,26100,8,,,4,,,3
13,Electricity and Optics,PHYS,24100,6,,,3,,,3
14,Basic Mechanics,CE,29700,6,12,,3,,,3
15,Principles and Practice of Geometry,CE,20300,,16,,4,,,3
16,Graphics for Civil Engineering & Construction,CGT,16400,,,,2,,,3
17,Contemporary Issues in CE,CE,29202,,,,2,,,3
18,Linear Algebra,MA,26500,8,,,3,,,4
19,Thermal & Energy Sciences,CE,21101,1;12,,,3,,,4
20,Introductory Structural Mechanics,CE,27000,12;14,,,4,,,4
21,Basic Mechanics 2 Dynamics,CE ,29800,12;14,,,3,,,4
22,Gen ED Elective 1,,,,,,3,,,4
23,ODE,MA,26600,12,,,3,,,5
24,Civil Engineering Materials,CE,33500,20,,,4,,,5
25,Hydraulics,CE,34000,21,,,3,,,5
26,Elementary Hydraulics LAB,CE,34300,,25,,1,,,5
27,Tech Elective 1,,,,,,3,,,5
28,Gen ED Elective 2,,,,,,3,,,5
29,Stastical Methods,STAT,51100,,,,3,,,6
30,Intro to CE System Design,CE,39800,12,,,4,,,6
31,Technical Communication in CE,CE,39201,17,,,3,,,6
32,Tech Elective 2,,,,,,1,,,6
33,Tech Elective 3,,,,,,3,,,6
34,Tech Elective 4,,,,,,3,,,7
35,Basic Science Elective,,,,,,3,,,7
36,Technical Elective 5,,,,,,3,,,7
37,Technical Elective 6,,,,,,3,,,7
38,Technical Elective 7,,,,,,3,,,7
39,General education 3,,,,,,3,,,7
40,General Education 4,,,,,,3,,,7
41,Civil Engineering Design Project,CE,49800,30,,,3,,,8
42,Technical Elective 8,,,,,,3,,,8
43,Technical Elective 9,,,,,,3,,,8
44,Technical Elective 10,,,,,,3,,,8
45,General Education Elective 5,,,,,,3,,,8
