Curriculum,Civil Engineering,,,,,,,,,
Degree Plan,2021-2022,,,,,,,,,
Institution,University of California-Berkeley,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,Semester,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Chem 1A,,,,,,3,,,1
2,Math 1A,,,,,,4,,,1
3,Data C8,,,,,,4,,,1
4,R&C A,,,,,,4,,,1
5,Physics 7A,,,2,6,,4,,,2
6,MATH 1B,,,2,,,4,,,2
7,CE 93,,,3,,,3,,,2
8,CE 11,,,1;2,,,3,,,2
9,CE 92A or 92B,,,,,,2,,,2
10,CE 60,,,1,,,3,,,3
11,BASIC SCI Elective,,,,,,4,,,3
12,R&C B,,,4,,,4,,,3
13,MATH 53,,,6,,,4,,,3
14,CE C30/ME C85,,,5,13;15,,3,,,4
15,MATH 54,,,6,,,4,,,4
16,ENGIN 7,,,7;3,6,,4,,,4
17,H/SS,,,,,,4,,,4
18,CEE 100(F) or 132(Sp),,,5;13,16,,3,,,5
19,Physics 7B,,,5;2;6,13,,4,,,5
20,CEE APP Elective,,,,,,3,,,5
21,H/SS,,,,,,4,,,5
22,CEE APP ELective,,,,,,3,,,6
23,CEE APP Elective,,,,,,3,,,6
24,ENG Fund Elective,,,,,,4,,,6
25,UD H/SS,,,,,,4,,,6
26,CE 167(F),,,,7,,3,,,7
27,CEE Extension Elective,,,,,,3,,,7
28,CE Design,,,,,,4,,,7
29,UD H/SS,,,,,,4,,,7
30,CEE Ext Elective,,,,,,3,,,8
31,CEE Ext Elective,,,,,,3,,,8
32,Free Elective,,,,,,4,,,8
33,Free elective,,,,,,4,,,8
34,Free Elective,,,,,,3,,,8
