Curriculum,Computer Science and Engineering,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Intro to Engineering,ENGR,102,,,,3,,,
2,First-Year Composition,ENGL  ,101,,,,3,,,
3,First-Year Composition,ENGL  ,102,2,,,3,,,
4,Intro to General Ed,UNIV,101,,,,1,,,
5,GE Core: Exploring Perspectives (Artist),,,,,,3,,,
6,GE Core: Exploring Perspectives (Humanist),,,,,,3,,,
7,GE Core: Exploring Perspectives (Natural Scientist),,,,,,3,,,
8,GE Core: Exploring Perspectives (Social Scientist),,,,,,3,,,
9,GE Core: Building Connections,,,,,,3,,,
10,GE Core: Building Connections,,,,,,3,,,
11,GE Core: Building Connections,,,,,,3,,,
12,Gen Ed Portfolio,UNIV,301,,,,1,,,
13,Calculus I,MATH,122A/B,,,,5,,,
14,Calculus II,MATH,129,13,,,3,,,
15,Discrete Math,MATH,243,,14,,3,,,
16,Intro to Eng Prob/Stats ,SIE,305,14,,,3,,,
39,Linear Alg/Number Theory/Numerical Methods/Vector Calculus,,,14,,,3,,,
17,Programming I,CSE,101,,,,4,,,
20,Programming II,CSE,102,17,,,3,,,
19,Digital Logic,ECE,274A,17,,,4,,,
21,Fundamentals of Computer Org,ECE,369A,19,,,4,,,
22,Intro to Data Structures,,,20,,,3,,,
23,Algorithm Design & Analysis,,,15;22,,,3,,,
24,Software Design,SFWE,302,22,,,3,,,
25,Theory of Computation,,,15,,,3,,,
18,Software Assurance/Security,SFWE,401,24,,,3,,,
40,Operating Systems,,,21;22,,,3,,,
26,Eng Ethics,ECE,311,,,,1,,,
27,Physical/Natural Science w/ Lab (200 level),,,7,,,4,,,
28,Cross-disciplinary Design,ENGR,498A,,,,3,,,
29,Cross-disciplinary Design,ENGR,498B,28,,,3,,,
30,Upper Division Computing Elective,,,23,,,3,,,
31,Upper Division Computing Elective,,,23,,,3,,,
32,Upper Division Computing Elective,,,23,,,3,,,
33,General Elective,,,23,,,3,,,
34,General Elective,,,,,,3,,,
35,General Elective,,,,,,3,,,
36,General Elective,,,,,,3,,,
37,General Elective,,,,,,3,,,
38,General Elective,,,,,,3,,,
