Curriculum,Optical Engineering,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.1003,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I w/ Applications,MATH,125,,,,3,,,1
2,Gen Chemistry I,CHEM,151,,,,4,,,1
3,First-year Comp,ENGL,101,,,,3,,,1
4,Intro to Engineering,ENGR,102,,1,,3,,,1
5,Tier I General Ed 1,,,,,,3,,,1
6,Calculus II,MATH,129,1,,,3,,,2
7,Solid State Chem,MSE,110,2,,,3,,,2
8,Intro Mechanics,PHYS,141,1,,,4,,,2
9,First-year Comp.,ENGL,102,3,,,3,,,2
10,Tier I General Ed 2,,,,,,3,,,2
11,Geometrical & Instrumental Optics I,OPTI,201R,1;6;8;7,,,3,,,3
12,Geometrical & Instrumental Optics I Lab,OPTI,201L,,,11,1,,,3
13,Vector Calculus,MATH ,223,6,,,4,,,3
14,Electricity & Magnetism,PHYS,241,6;8,,,4,,,3
15,Tech Elective 1,,,,,,3,,,3
16,Tier I General Ed 3,,,,,,3,,,3
17,Geometrical & Instrumental Optics II,OPTI,202R,11;12,,,3,,,4
18,Geometrical & Instrumental Optics II Lab,OPTI,202L,,,17,1,,,4
19,Computer Programming,OPTI,280,,,,1,,,4
20,Physical Optics I,OPTI,210,13,,,3,,,4
21,Intro to ODEs,MATH,254,6,,,3,,,4
22,Tier I General Ed 4,,,,,,3,,,4
23,Basic Circuits,ECE,220,6;14,,,5,,,4
24,Semiconduct Physics & Lasers,OPTI,341,14;13,21,,3,,,5
25,Intermed Optics Lab I,OPTI,380A,20,,,1,,,5
26,Math Analysis for Eng,MATH,322,13;21,,,3,,,5
27,Tech Elective 2,,,,,,3,,,5
28,Radiometry Sources and Detectors,OPTI,306,11;12,26;23,,3,,,5
29,Tier II General Ed 1,,,,,,3,,,5
30,Physical Optics II,OPTI,330,20,,,3,,,6
31,Optical Design,OPTI,340,11;17;20,,,3,,,6
32,Laser and Photonics,OPTI,370,20;13;25,,,3,,,6
33,Intermed Optics Lab II,OPTI,380B,,31;32;23,,1,,,6
34,Tech Elective 3,,,,,,3,,,6
35,Tier II General Ed 2,,,,,,3,,,6
36,Cross-disciplinary Design,ENGR,498A,,,,3,,,7
37,Tech Elective 4,,,,,,3,,,7
38,Optical Comm Sys,OPTI,430,23;25;33,,,3,,,7
39,Intro Optomechanical Eng,OPTI,421,33,,,3,,,7
40,Adv Optics Lab,OPTI,471A,23;30;32,,,2,,,7
41,Cross-disciplinary Design,ENGR,498B,32;28,28,,3,,,8
42,Optical Specs Fab and Testing,OPTI,415,33,,,3,,,8
43,Adv Optics Lab,OPTI,471B,31;40,,,2,,,8
44,Tech Elective 5,,,,,,3,,,8
45,Tech Elective 6,,,,,,3,,,8
