Curriculum,Aerospace Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0201,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp.,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed.,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Intro. to MATLAB I,AME,105,1,,,1,,
8,Intro Mechanics,PHYS,141,1,,,4,,
9,First-year Comp.,ENGL,102,3,,,3,,
10,Programming for Eng. Apps.,ECE,175,,1,,3,,
11,Tier I General Ed.,,,,,,3,,
12,Statics,CE,214,8;6,,,3,,
13,Vector Calculus,MATH ,223,6,,,4,,
14,Electricity & Magnetism,PHYS,241,6;8,,,4,,
15,Intro. To MATLAB II,AME ,205,7,,,1,,
16,Comp. Aided Drafting & Manufacturing,AME,211,,,,3,,
17,Tier I General Ed.,,,,,,3,,
18,Thermodynamics,AME,230,8,,,3,,
19,Dynamics,AME,250,12,20,,3,,
20,Intro. to ODEs,MATH,254,13,,,3,,
21,Intro. to Aerospace Eng.,AME,220,13; 8,20,,3,,
22,Tier I General Ed.,,,,,,3,,
23,Aerodynamics,AME,320,21,26,,3,,
24,Mech. Behavior of Eng. Materials.,AME ,324A,12,,,3,,
25,Engineering Analysis,AME,301,20,,,3,,
26,Instrumentation Lab.,AME,300,,24;18,,3,,
27,Fund. of Materials for Engineers,MSE,331R,2,,,3,,
28,Mech. of Materials Lab.,AME,324L,25,,,1,,
29,Eng. Component Design,AME,324B,25,,,3,,
30,Aircraft Performance,AME,321,19;21,23,,3,,
31,Gasdynamics,AME,323,20; 18; 21,32,,3,,
32,Numerical Methods,AME,302,20;15;19,26,,3,,
33,Aero./Mech. Eng. Lab,AME,313,,,,1,,
34,Tier II General Ed.,,,,,,3,,
35,Senior Aerospace Lab.,AME,401,27;23;31,,,3,,
36,Aerospace Conceptual Design,AME,420,33;23;30;31,,,3,,
37,Aerospace Propulsion,AME,425,18;31;24,,,3,,
38,Stability and Control of Aero. Vehicles,AME,427,23;30;15,,,3,,
39,Orbital Mechanicans and Space Flt.,AME,457,13;19,,,3,,
40,Senior Colloquium,AME,495S,,,,1,,
41,Aerospace Eng.Design,AME,422,36,33,,3,,
42,Num. Meth. in Fluid Mech. & Heat Xfer,AME,431,18;24;32,,,3,,
43,Technical Elective,,,,,,3,,
44,Technical Elective,,,,,,3,,
45,Tier II General Ed.,,,,,,3,,
