Curriculum,"Apparel Merchandising, Apparel Design and Production Concentration",,,,,,,,,
Degree Plan,"Apparel Merchandising, Apparel Design and Production Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AM 101","","",,,,3,"","",1
2,"AM 130","","",,,,3,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"PSY 100","","",,,,3,"","",1
8,"AM 110","","",,,,3,"","",2
9,"AM 143","","",,,,4,"","",2
10,"CHEM 103","","",,,,3,"","",2
11,"CHEM 104","","",,"10",,1,"","",2
12,"DM 120","","",,,,3,"","",2
13,"ELECTIVE 1","","",,,,2,"","",2
14,"AM 241","","","9;4;5;6",,,3,"","",3
15,"AM 244","","","9",,,3,"","",3
16,"AM 250","","",,,,3,"","",3
17,"DM 272","","",,,,3,"","",3
18,"PHIL 110","","",,,,3,"","",3
19,"AM 240","","","9",,,3,"","",4
20,"AM 270","","","6;2;12;1",,,3,"","",4
21,"AM 275","","","2;8;6;1",,,3,"","",4
22,"SPCM 200","","",,,,3,"","",4
23,"AUCC 3B","","",,,,3,"","",4
24,"AM 342","","","8",,,3,"","",5
25,"DM 492","","",,,,2,"","",5
26,"AUCC 3A","","",,,,3,"","",5
27,"AUCC 3D","","",,,,3,"","",5
28,"UD ELECTIVE 1","","",,,,3,"","",5
29,"ELECTIVE 2","","",,,,3,"","",5
30,"AM 341","","","14",,,3,"","",6
31,"AM 345","","","14",,,3,"","",6
32,"AM 363","","",,,,3,"","",6
33,"ADVANCED WRITING","","","3",,,3,"","",6
34,"UD ELECTIVE 2","","",,,,3,"","",6
35,"AM 421","","","12",,,3,"","",7
36,"AM 446","","","24;30",,,3,"","",7
37,"AM 460","","",,,,3,"","",7
38,"UD ELECTIVE 3","","",,,,3,"","",7
39,"UD ELECTIVE 4","","",,,,3,"","",7
40,"DM 487B","","","25;15",,,12,"","",8
