Curriculum,"Apparel Merchandising, Product Development Concentration",,,,,,,,,
Degree Plan,"Apparel Merchandising, Product Development Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AM 101","","",,,,3,"","",1
2,"AM 130","","",,,,3,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"PSY 100","","",,,,3,"","",1
8,"AM 110","","",,,,3,"","",2
9,"CHEM 103","","",,,,3,"","",2
10,"CHEM 104","","",,"9",,1,"","",2
11,"DM 120","","",,,,3,"","",2
12,"AUCC 3B","","",,,,3,"","",2
13,"AUCC 3D","","",,,,3,"","",2
14,"ACT 205","","",,,,3,"","",3
15,"AM 250","","",,,,3,"","",3
16,"DM 272","","",,,,3,"","",3
17,"ECON 202","","","4",,,3,"","",3
18,"AUCC 3A","","",,,,3,"","",3
19,"AM 270","","","2;11;6;1",,,3,"","",4
20,"AM 275","","","2;8;6;1",,,3,"","",4
21,"SPCM 200","","",,,,3,"","",4
22,"STAT 201","","","4",,,3,"","",4
23,"ELECTIVE 1","","",,,,3,"","",4
24,"AM 330","","","19;17",,,3,"","",5
25,"AM 342","","","19",,,3,"","",5
26,"AM 375","","","16;19;20",,,3,"","",5
27,"MGT 305","","",,,,3,"","",5
28,"ADVANCED WRITING","","","3",,,3,"","",5
29,"AM 321","","","11",,,3,"","",6
30,"AM 335","","","19",,,3,"","",6
31,"AM 363","","",,,,3,"","",6
32,"DM 492","","",,,,2,"","",6
33,"MKT 305","","","17",,,3,"","",6
34,"UD ELECTIVE 1","","",,,,3,"","",6
35,"AM 421","","","11",,,3,"","",7
36,"AM 460","","",,,,3,"","",7
37,"AM 475","","","26;30",,,3,"","",7
38,"UD ELECTIVE 2","","",,,,3,"","",7
39,"UD ELECTIVE 3","","",,,,3,"","",7
40,"DM 487C","","","26;32",,,12,"","",8
