Curriculum,"Art, Art Education Concentration",,,,,,,,,
Degree Plan,"Art, Art Education Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ART 105","","",,,,1,"","",1
2,"ART 110","","",,,,3,"","",1
3,"ART 135","","",,,,3,"","",1
4,"ART 160","","",,,,3,"","",1
5,"CO 150","","",,,,3,"","",1
6,"ART 111","","","2",,,3,"","",2
7,"ART 136","","","3",,,3,"","",2
8,"ART 170","","",,,,3,"","",2
9,"AUCC 3B","","",,,,3,"","",2
10,"MATH","","",,,,3,"","",2
11,"ART 212","","","6",,,3,"","",3
12,"ART 230","","","7;4;8;6",,,3,"","",3
13,"ART 245","","","7;4;8;6",,,3,"","",3
14,"AUCC 3A","","",,,,4,"","",3
15,"AUCC 3E","","",,,,3,"","",3
16,"EDUC 275","","",,,,3,"","",4
17,"ART 240","","","7;4;8;6",,,3,"","",4
18,"ART 250","","","4;2;3;8",,,3,"","",4
19,"AUCC 3A","","",,,,3,"","",4
20,"AUCC 3D","","",,,,3,"","",4
21,"EDUC 340","","",,,,3,"","",5
22,"ADVANCED WRITING","","","5",,,3,"","",5
23,"ART 260","","","7;4;8;6",,,3,"","",5
24,"UD ART HISTORY 1","","",,,,3,"","",5
25,"UD STUDIO 1","","",,,,4,"","",5
26,"ART 325","","","16",,,3,"","",6
27,"EDUC 331","","","16;21",,,2,"","",6
28,"EDUC 350","","","16;21",,,3,"","",6
29,"EDUC 386","","","16;21",,,1,"","",6
30,"ART 265","","","4;2;3;8",,,3,"","",6
31,"UD STUDIO 2","","",,,,4,"","",6
32,"ART 326","","",,,,4,"","",7
33,"EDUC 450","","","29;27;28",,,4,"","",7
34,"EDUC 466","","","16",,,4,"","",7
35,"EDUC 486E","","",,,,1,"","",7
36,"AUCC 3B","","",,,,3,"","",7
37,"EDUC 485A","","","34;33",,,6,"","",8
38,"EDUC 485B","","","34;33",,,6,"","",8
39,"EDUC 493A","","","34;33","37",,1,"","",8
