Curriculum,"Art, Art History Concentration",,,,,,,,,
Degree Plan,"Art, Art History Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ART 105","","",,,,1,"","",1
2,"ART 110","","",,,,3,"","",1
3,"ART 135","","",,,,3,"","",1
4,"CO 150","","",,,,3,"","",1
5,"L*** FOREIGN LANGUAGE 1","","",,,,5,"","",1
6,"ART 111","","","2",,,3,"","",2
7,"ART 160","","",,,,3,"","",2
8,"L*** FOREIGN LANGUAGE 2","","","5",,,5,"","",2
9,"MATH","","",,,,3,"","",2
10,"ART 170","","",,,,3,"","",3
11,"ART 212","","","6",,,3,"","",3
12,"AUCC 3B","","",,,,3,"","",3
13,"AUCC 3A","","",,,,4,"","",3
14,"AUCC 3E","","",,,,3,"","",3
15,"ART 136","","","3",,,3,"","",4
16,"UD ART HISTORY ELECTIVE 1","","","11",,,3,"","",4
17,"AUCC 3A","","",,,,3,"","",4
18,"AUCC 3D","","",,,,3,"","",4
19,"AUCC 3C","","",,,,3,"","",4
20,"ART 230","","","7;10;15;6",,,3,"","",5
21,"PHIL 318","","",,,,3,"","",5
22,"UD ART HISTORY ELECTIVE 2","","","11",,,3,"","",5
23,"UD ART HISTORY ELECTIVE 3","","","11",,,3,"","",5
24,"ADVANCED WRITING","","","4",,,3,"","",5
25,"UD ART HISTORY ELECTIVE 4","","","11",,,3,"","",6
26,"UD ART HISTORY ELECTIVE 5","","","11",,,3,"","",6
27,"UD ART ELECTIVE 1","","",,,,4,"","",6
28,"SECOND FIELD COURSE 1","","",,,,3,"","",6
29,"AUCC 3B","","",,,,3,"","",6
30,"ART 419","","",,,,3,"","",7
31,"UD ART HISTORY ELECTIVE 6","","","11",,,3,"","",7
32,"SECOND FIELD COURSE 2","","",,,,3,"","",7
33,"UD SECOND FIELD COURSE 1","","",,,,3,"","",7
34,"UD SECOND FIELD COURSE 2","","",,,,3,"","",7
35,"UD ART HISTORY ELECTIVE 7","","","11",,,3,"","",8
36,"SECOND FIELD COURSE 3","","",,,,3,"","",8
37,"UD SECOND FIELD COURSE 3","","","33",,,3,"","",8
38,"UD SECOND FIELD COURSE 4","","","33",,,3,"","",8
39,"ELECTIVE 1","","",,,,2,"","",8
