Curriculum,"Art, Integrated Visual Studies Concentration",,,,,,,,,
Degree Plan,"Art, Integrated Visual Studies Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ART 105","","",,,,1,"","",1
2,"ART 110","","",,,,3,"","",1
3,"ART 135","","",,,,3,"","",1
4,"ART 160","","",,,,3,"","",1
5,"CO 150","","",,,,3,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"ART 111","","","2",,,3,"","",2
8,"ART 136","","",,,,3,"","",2
9,"ART 170","","",,,,3,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"MATH","","",,,,3,"","",2
12,"ART 212","","","7",,,3,"","",3
13,"SPCM 200","","",,,,3,"","",3
14,"INTRO STUDIO ELECTIVE 1","","",,,,3,"","",3
15,"AUCC 3A","","",,,,4,"","",3
16,"AUCC 3D","","",,,,3,"","",3
17,"INTRO STUDIO ELECTIVE 2","","","7;8",,,3,"","",4
18,"AUCC 3A","","",,,,3,"","",4
19,"AUCC 3E","","",,,,3,"","",4
20,"AUCC 3C","","",,,,3,"","",4
21,"UD ART HISTORY ELECTIVE 1","","","12",,,3,"","",4
22,"INTRO STUDIO ELECTIVE 3","","","7;4;9;8",,,3,"","",5
23,"SECOND FIELD COURSE 1","","",,,,3,"","",5
24,"SECOND FIELD COURSE 2","","",,,,3,"","",5
25,"UD ART HISTORY ELECTIVE 2","","","12",,,3,"","",5
26,"UD STUDIO COURSE 1","","",,,,4,"","",5
27,"UD STUDIO COURSE 2","","","26",,,4,"","",6
28,"UD SECOND FIELD COURSE 1","","",,,,3,"","",6
29,"UD SECOND FIELD COURSE 2","","",,,,3,"","",6
30,"ADVANCED WRITING","","","5",,,3,"","",6
31,"UD ART ELECTIVE 1","","",,,,4,"","",7
32,"UD SECOND FIELD COURSE 3","","",,,,3,"","",7
33,"UD ELECTIVE 1","","",,,,3,"","",7
34,"ELECTIVE  1","","",,,,3,"","",7
35,"ART 425","","",,,,4,"","",8
36,"UD ART ELECTIVE 2","","",,,,3,"","",8
37,"UD SECOND FIELD COURSE 4","","",,,,3,"","",8
38,"ELECTIVE 2","","",,,,3,"","",8
39,"ELECTIVE 3","","",,,,3,"","",8
