Curriculum,"Biochemistry, General Biochemistry Concentration",,,,,,,,,
Degree Plan,"Biochemistry, General Biochemistry Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BC 192","","",,,,2,"","",1
2,"CHEM 111","","",,,,4,"","",1
3,"CHEM 112","","",,"2",,1,"","",1
4,"LIFE 102","","",,,,4,"","",1
5,"MATH 155","","",,,,4,"","",1
6,"CHEM 113","","","2;5",,,3,"","",2
7,"CHEM 114","","",,"6",,1,"","",2
8,"CO 150","","",,,,3,"","",2
9,"LIFE 201B","","","4",,,3,"","",2
10,"LIFE 203","","",,"9",,2,"","",2
11,"MATH 255","","","5",,,4,"","",2
12,"CHEM 341","","","6",,,3,"","",3
13,"LIFE 210","","","4;2;3",,,3,"","",3
14,"LIFE 212","","","3","13",,2,"","",3
15,"AUCC 3B","","",,,,3,"","",3
16,"ELECTIVE 1","","",,,,3,"","",3
17,"CHEM 343","","",,,,3,"","",4
18,"CHEM 344","","","7","17",,2,"","",4
19,"PH 121","","","5",,,5,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"BIOSCIENCE ELECTIVE 1","","",,,,3,"","",4
22,"BC 401","","","17;5",,,3,"","",5
23,"PH 122","","","19",,,5,"","",5
24,"STAT 301","","","5",,,3,"","",5
25,"ADVANCED WRITING","","","8",,,3,"","",5
26,"BC 403","","","12",,,3,"","",6
27,"BC 404","","","10;22;18",,,2,"","",6
28,"AUCC 3C","","",,,,3,"","",6
29,"BIOSCIENCE ELECTIVE 2","","",,,,3,"","",6
30,"ELECTIVE 2","","",,,,3,"","",6
31,"BC 411","","","11;22;6",,,4,"","",7
32,"BC 463","","","9;22",,,3,"","",7
33,"BC 493","","",,,,1,"","",7
34,"AUCC 3D","","",,,,3,"","",7
35,"ELECTIVE 3","","",,,,4,"","",7
36,"BC 465","","","26;13",,,3,"","",8
37,"BC 499A","","",,,,3,"","",8
38,"BIOSCIENCE ELECTIVE 3","","",,,,3,"","",8
39,"AUCC 3E","","",,,,3,"","",8
40,"ELECTIVES 4","","",,,,4,"","",8
