Curriculum,"Biological Science, Biological Science Concentration",,,,,,,,,
Degree Plan,"Biological Science, Biological Science Concentration",,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,,CO ,150,,,,3,,,1
2,,BZ,110,,,,3,,,1
3,,BZ,111,,,,1,,,1
4,ELECTIVE 1,,,,,,3,,,1
5,ELECTIVE 2,,,,,,3,,,1
6,,MATH,117,,,,1,,,1
7,,MATH,118,,6,,1,,,1
8,,MATH,124,,7,,1,,,1
9,,MATH,125,,8,,1,,,1
10,,CHEM,111,7,,,4,,,2
11,,CHEM,112,,10,,1,,,2
12,,BZ,120,,,,4,,,2
13,,MATH,155,9;8,,,4,,,2
14,,AUCC,3B,,,,3,,,2
15,,BZ,220,2,,,3,,,3
16,,CHEM,113,13;10,,,3,,,3
17,,CHEM,114,,16,,1,,,3
18,FIELD ELECTIVE 1,,,,,,3,,,3
19,,AUCC,3B,,,,3,,,3
20,,AUCC,3D,,,,3,,,3
21,,CHEM,245,16,,,4,,,4
22,,CHEM,246,11,21,,1,,,4
23,,STAT,301,9,,,3,,,4
24,FIELD ELECTIVE 2,,,,,,3,,,4
25,,AUCC,3E,,,,3,,,4
26,,AUCC,3C,,,,3,,,4
27,,BC,401,2;21,,,3,,,5
28,,PH,121,9,,,5,,,5
29,FIELD ELECTIVE 3,,,,,,3,,,5
30,ELECTIVE 3,,,,,,3,,,5
31,,BZ,350,23;2,,,4,,,6
32,,BC,403,21,,,3,,,6
33,,PH,122,28,,,5,,,6
34,ADVANCED WRITING,,,1,,,3,,,6
35,,BZ,310,2;16,,,4,,,7
36,FIELD ELECTIVE 4,,,,,,3,,,7
37,ADDITIONAL FIELD ELECTIVE 1,,,,,,3,,,7
38,ELECTIVE 4,,,,,,2,,,7
39,,BZ,311,35,,,4,,,8
40,,LIFE,320,13,,,3,,,8
41,ADDITIONAL FIELD ELECTIVE 2,,,,,,3,,,8
42,ELECTIVE 5,,,,,,3,,,8
