Curriculum,"Biomedical Sciences",,,,,,,,,
Degree Plan,"Biomedical Sciences",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"LIFE 102","","",,,,4,"","",1
2,"CHEM 111","","",,,,4,"","",1
3,"CHEM 112","","",,,,1,"","",1
4,"CO 150","","",,,,3,"","",1
5,"MATH 124","","",,,,1,"","",1
6,"MATH 125","","",,"5",,1,"","",1
7,"CHEM 113","","","2","5",,3,"","",2
8,"CHEM 114","","","3","7",,1,"","",2
9,"MATH 155","","","5;6",,,4,"","",2
10,"BMS 260","","","1",,,3,"","",2
11,"BIOMEDICAL SCIENCES ELECTIVE 1","","",,,,3,"","",2
12,"AUCC 3B","","",,,,3,"","",2
13,"AUCC 3C","","",,,,3,"","",2
14,"CHEM 341","","","7",,,3,"","",3
15,"LIFE 210","","","2;3;1",,,3,"","",3
16,"LIFE 212","","","3","15",,2,"","",3
17,"STAT 301","","","6",,,3,"","",3
18,"AUCC 3B","","",,,,3,"","",3
19,"AUCC 3D","","",,,,3,"","",3
20,"BMS 302","","",,,,2,"","",4
21,"BMS 360","","","1;14","20",,4,"","",4
22,"CHEM 343","","","14",,,3,"","",4
23,"CHEM 344","","","8","22",,2,"","",4
24,"LIFE 201B","","","1",,,3,"","",4
25,"BC 351","","","14;1",,,4,"","",5
26,"PH 121","","","9",,,5,"","",5
27,"ADVANCED WRITING","","","4",,,3,"","",5
28,"BIOMEDICAL SCIENCES ELECTIVE 2","","",,,,3,"","",5
29,"BMS 301","","","1",,,5,"","",6
30,"PH 122","","",,,,5,"","",6
31,"BIOMEDICAL SCIENCES ELECTIVE 3","","",,,,3,"","",6
32,"AUCC 3E","","",,,,3,"","",6
33,"BMS 345","","",,,,4,"","",7
34,"BMS 400","","",,"33",,1,"","",7
35,"BIOMEDICAL SCIENCES ELECTIVE 4","","",,,,3,"","",7
36,"BIOMEDICAL SCIENCES ELECTIVE 5","","",,,,3,"","",7
37,"ELECTIVE 1","","",,,,2,"","",7
38,"MIP 300","","","14;1",,,3,"","",8
39,"MIP 302","","",,"38",,2,"","",8
40,"ELECTIVE 2","","",,,,3,"","",8
41,"ELECTIVE 3","","",,,,3,"","",8
42,"ELECTIVE 4","","",,,,2,"","",8
