Curriculum,"Communication Studies, Teacher Licensure Concentration",,,,,,,,,
Degree Plan,"Communication Studies, Teacher Licensure Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"SPCM 100","","",,,,3,"","",1
3,"AUCC 3A","","",,,,3,"","",1
4,"AUCC 3D","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"SPCM 200","","",,,,3,"","",2
7,"AUCC 3A","","",,,,4,"","",2
8,"AUCC 3E","","",,,,3,"","",2
9,"MATH","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"EDUC 275","","",,,,3,"","",3
12,"SPCM 201","","",,,,3,"","",3
13,"ENDORSEMENT AREA ELECTIVE 1","","",,,,3,"","",3
14,"ENDORSEMENT AREA ELECTIVE 2","","",,,,3,"","",3
15,"ENDORSEMENT AREA ELECTIVE 3","","",,,,3,"","",3
16,"SPCM 207","","","6",,,3,"","",4
17,"SPCM 331","","",,,,3,"","",4
18,"SPCM 332","","",,,,3,"","",4
19,"ENDORSEMENT AREA ELECTIVE 4","","",,,,3,"","",4
20,"ENDORSEMENT AREA ELECTIVE 5","","",,,,3,"","",4
21,"CO 301A","","","1",,,3,"","",5
22,"EDUC 340","","",,,,3,"","",5
23,"SPCM 300","","","6",,,3,"","",5
24,"SPCM 341","","",,,,3,"","",5
25,"ENDORSEMENT AREA ELECTIVE 6","","",,,,3,"","",5
26,"EDUC 331","","","11;22",,,2,"","",6
27,"EDUC 350","","","11;22",,,3,"","",6
28,"EDUC 386","","","11;22",,,1,"","",6
29,"EDUC 463","","",,,,4,"","",6
30,"SPCM 334","","",,,,3,"","",6
31,"ENDORSEMENT AREA ELECTIVE 7","","",,,,3,"","",6
32,"EDUC 450","","","26;27;28",,,4,"","",7
33,"EDUC 486E","","",,,,1,"","",7
34,"SPCM 232","","","6",,,3,"","",7
35,"SPCM 407","","","16;6",,,3,"","",7
36,"SPCM 357","","",,,,3,"","",7
37,"EDUC 485B","","","32;29",,,11,"","",8
38,"EDUC 493A","","","32;29","37",,1,"","",8
39,"SPCM 479","","","2;16;12",,,3,"","",8
