Curriculum,"Early Childhood Education",,,,,,,,,
Degree Plan,"Early Childhood Education",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HDFS 101","","",,"1",,3,"","",1
3,"HDFS 277","","",,,,1,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"AUCC 3D","","",,,,3,"","",1
6,"MATH","","",,,,3,"","",1
7,"BZ 101","","",,,,3,"","",2
8,"HDFS 217","","","2",,,3,"","",2
9,"PSY 100","","",,,,3,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"AUCC 3E","","",,,,3,"","",2
12,"HDFS 310","","","2",,,3,"","",3
13,"HDFS 311","","","2",,,3,"","",3
14,"HDFS 334","","","2",,,3,"","",3
15,"AUCC 3A","","",,,,4,"","",3
16,"ELECTIVE 1","","",,,,3,"","",3
17,"EDUC 275","","",,,,3,"","",4
18,"HDFS 320","","","12",,,3,"","",4
19,"CO 300","","","1",,,3,"","",4
20,"HDFS 318","","","12",,,3,"","",4
21,"STAT 201","","","6",,,3,"","",4
22,"EDUC 331","","","17","23",,2,"","",5
23,"EDUC 340","","",,,,3,"","",5
24,"HDFS 375","","","2",,,3,"","",5
25,"HDFS 410","","","12",,,3,"","",5
26,"HDFS 445","","","12",,,3,"","",5
27,"EDUC 400","","","23;17;8;12",,,3,"","",6
28,"EDUC 425","","","23;17",,,4,"","",6
29,"HDFS 350","","","2;21",,,3,"","",6
30,"HDFS 317","","","12",,,3,"","",6
31,"ELECTIVE 2","","",,,,3,"","",6
32,"EDUC 426","","",,,,4,"","",7
33,"HDFS 434","","",,,,3,"","",7
34,"HDFS 439","","",,,,3,"","",7
35,"HDFS 492","","",,,,3,"","",7
36,"ELECTIVE 3","","",,,,2,"","",7
37,"EDUC 485C","","",,,,12,"","",8
38,"EDUC 493A","","",,,,1,"","",8
