Curriculum,"Electrical Engineering, Electrical Engineering Concentration",,,,,,,,,
Degree Plan,"Electrical Engineering, Electrical Engineering Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"ECE 102","","",,,,4,"","",1
3,"MATH 160","","",,,,4,"","",1
4,"AUCC 3D","","",,,,3,"","",1
5,"ECE 103","","","3",,,3,"","",2
6,"MATH 161","","","3",,,4,"","",2
7,"PH 141","","","3",,,5,"","",2
8,"CS 155","","",,,,1,"","",2
9,"CS 156","","",,"8",,1,"","",2
10,"CS 157","","",,"9",,1,"","",2
11,"ELECTIVE 1","","",,,,3,"","",2
12,"ECE 251","","","2",,,4,"","",3
13,"MATH 261","","","6",,,4,"","",3
14,"PH 142","","","6",,,5,"","",3
15,"SCIENCE/MATH/ENGINEERING ELECTIVE 1","","",,,,3,"","",3
16,"CHEM 111","","","6",,,4,"","",4
17,"ECE 202","","","5;6",,,4,"","",4
18,"ECE 303","","","13","19",,3,"","",4
19,"MATH 340","","","13",,,4,"","",4
20,"ECE 311","","","19;17","22",,3,"","",5
21,"ECE 331","","","14;19;17",,,4,"","",5
22,"ECE 341","","","14;19;17","21",,3,"","",5
23,"CO 301B","","","1",,,3,"","",5
24,"SCIENCE/MATH/ENGINEERING ELECTIVE 2","","",,,,3,"","",5
25,"ECE 312","","","20",,,3,"","",6
26,"ECE 332","","","21",,,4,"","",6
27,"ECE 342","","","22",,,3,"","",6
28,"AUCC 3E","","",,,,3,"","",6
29,"SCIENCE/MATH/ENGINEERING ELECTIVE 3","","",,,,2,"","",6
30,"ECE 401","","","25;27",,,3,"","",7
31,"AUCC 3B","","",,,,3,"","",7
32,"TECHNICAL ELECTIVES 1","","",,,,3,"","",7
33,"TECHNICAL ELECTIVES 2","","",,,,3,"","",7
34,"TECHNICAL ELECTIVES 3","","",,,,2,"","",7
35,"ECE 402","","","30",,,3,"","",8
36,"ECON 202","","","3",,,3,"","",8
37,"AUCC 3B","","",,,,3,"","",8
38,"TECHNICAL ELECTIVES 4","","",,,,3,"","",8
