Curriculum,"Electrical Engineering, Lasers and Optical Concentration",,,,,,,,,
Degree Plan,"Electrical Engineering, Lasers and Optical Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"ECE 102","","",,,,4,"","",1
3,"MATH 160","","",,,,4,"","",1
4,"AUCC 3D","","",,,,3,"","",1
5,"ECE 103","","","3",,,3,"","",2
6,"MATH 161","","","3",,,4,"","",2
7,"PH 141","","","3",,,5,"","",2
8,"CS 155","","",,,,1,"","",2
9,"CS 156","","",,"8",,1,"","",2
10,"CS 157","","",,"9",,1,"","",2
11,"CHEM 111","","","6",,,4,"","",3
12,"ECON 202","","","3",,,3,"","",3
13,"PH 142","","","7;6",,,5,"","",3
14,"MATH 261","","",,,,4,"","",3
15,"ECE 202","","","5;6",,,4,"","",4
16,"ECE 303","","","14","18",,3,"","",4
17,"PH 314","","","14;13",,,4,"","",4
18,"MATH 340","","","14",,,4,"","",4
19,"ECE 311","","","15;18",,,3,"","",5
20,"ECE 331","","","13;15;18","19",,4,"","",5
21,"ECE 341","","","18;13;15","19;20",,3,"","",5
22,"PH 353","","","14;13",,,4,"","",5
23,"AUCC 3E","","",,,,3,"","",5
24,"ECE 332","","","20",,,4,"","",6
25,"ECE 342","","","21",,,3,"","",6
26,"CO 301B","","","1",,,3,"","",6
27,"SCIENCE/MATH/ENG ELECTIVE 1","","",,,,3,"","",6
28,"AUCC 3B","","",,,,3,"","",6
29,"ECE 401","","","25;17;22;24",,,3,"","",7
30,"ECE 404","","",,,,2,"","",7
31,"ECE 441","","","25",,,3,"","",7
32,"PH 451","","","17;18",,,3,"","",7
33,"TECHNICAL ELECTIVE 1","","",,,,3,"","",7
34,"TECHNICAL ELECTIVE 2","","",,,,3,"","",7
35,"ECE 402","","","29",,,3,"","",8
36,"ECE 457","","","25;19",,,3,"","",8
37,"AUCC 3B","","",,,,3,"","",8
38,"TECHNICAL ELECTIVE 3","","",,,,3,"","",8
39,"TECHNICAL ELECTIVE 3","","",,,,3,"","",8
