Curriculum,"English, English Education Concentration",,,,,,,,,
Degree Plan,"English, English Education Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"E 142","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"MATHEMATICS","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"E 240","","",,,,3,"","",2
7,"SPCM 200","","",,,,3,"","",2
8,"AUCC 3D","","",,,,3,"","",2
9,"AUCC 3A","","",,,,4,"","",2
10,"ELECTIVE 2","","",,,,2,"","",2
11,"E 276","","",,,,3,"","",3
12,"EDUC 275","","",,,,3,"","",3
13,"EDUC 340","","",,,,3,"","",3
14,"AUCC 3A","","",,,,3,"","",3
15,"AUCC 3C","","",,,,3,"","",3
16,"CO 301D","","","1",,,3,"","",4
17,"E 270","","",,,,3,"","",4
18,"E 342","","","11",,,3,"","",4
19,"EDUC 331","","","13;12",,,2,"","",4
20,"ELECTIVE 3","","",,,,3,"","",4
21,"E 322","","",,,,3,"","",5
22,"E 341","","","6",,,3,"","",5
23,"EDUC 350","","","13;12",,,3,"","",5
24,"EDUC 386","","","13;12",,,1,"","",5
25,"UD ENGLISH/COMPOSITION 1","","",,,,3,"","",5
26,"ELECTIVE 4","","",,,,3,"","",5
27,"E 401","","","16",,,3,"","",6
28,"E 405","","",,,,3,"","",6
29,"EDUC 463","","",,,,4,"","",6
30,"UD ENGLISH/COMPOSITION 2","","",,,,3,"","",6
31,"UD ENGLISH/COMPOSITION 3","","",,,,3,"","",6
32,"E 402","","",,,,3,"","",7
33,"EDUC 450","","","23;19;24",,,4,"","",7
34,"EDUC 486E","","",,,,1,"","",7
35,"E 460","","","22",,,3,"","",7
36,"ENGLISH ELECTIVE","","",,,,3,"","",7
37,"ELECTIVE 5","","",,,,3,"","",7
38,"EDUC 485B","","","29;33",,,11,"","",8
39,"EDUC 493A","","","33","38",,1,"","",8
