Curriculum,"English, Language Concentration",,,,,,,,,
Degree Plan,"English, Language Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"E 270","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,3,"","",1
5,"MATHEMATICS","","",,,,3,"","",1
6,"E 240","","",,,,3,"","",2
7,"SPCM 200","","",,,,3,"","",2
8,"AUCC 3B","","",,,,3,"","",2
9,"AUCC 3A","","",,,,4,"","",2
10,"L*** *** FOREIGN LANGUAGE 1","","",,,,5,"","",2
11,"E 276","","",,,,3,"","",3
12,"AUCC 3E","","",,,,3,"","",3
13,"AUCC 3C","","",,,,3,"","",3
14,"LIBERAL ARTS/HISTORY ELECTIVE","","",,,,3,"","",3
15,"ELECTIVE 1","","",,,,3,"","",3
16,"AUCC 3D","","",,,,3,"","",4
17,"L*** *** FOREIGN LANGUAGE 2","","",,,,5,"","",4
18,"PHILOSOPHY","","",,,,3,"","",4
19,"ELECTIVE 2","","",,,,3,"","",4
20,"ELECTIVE 3","","",,,,2,"","",4
21,"CO 300","","","1",,,3,"","",5
22,"E 341","","","2",,,3,"","",5
23,"E 342","","","11;6",,,3,"","",5
24,"L*** *** FOREIGN LANGUAGE 3","","","17",,,5,"","",5
25,"E 326","","",,,,3,"","",6
26,"E 327","","",,,,3,"","",6
27,"ELECTIVE 4","","",,,,3,"","",6
28,"ELECTIVE 5","","",,,,4,"","",6
29,"E 460","","","22",,,3,"","",7
30,"L*** *** FOREIGN LANGUAGE 4","","","24",,,5,"","",7
31,"UD ENGLISH/COMPOSITION 1","","",,,,3,"","",7
32,"UD ENGLISH/COMPOSITION 2","","",,,,3,"","",7
33,"UD ENGLISH/COMPOSITION 3","","",,,,3,"","",7
34,"E 327","","",,,,3,"","",8
35,"UD ENGLISH/COMPOSITION 4","","",,,,3,"","",8
36,"UD ENGLISH/COMPOSITION 5","","",,,,3,"","",8
37,"ELECTIVE 6","","",,,,3,"","",8
