Curriculum,"Geology, Geology Concentration",,,,,,,,,
Degree Plan,"Geology, Geology Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"GEOL 150","","",,,,4,"","",1
3,"MATH 124","","",,,,1,"","",1
4,"MATH 125","","",,"3",,1,"","",1
5,"MATH 126","","",,"4",,1,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"CHEM 111","","",,,,3,"","",2
8,"CHEM 112","","",,"7",,1,"","",2
9,"GEOL 154","","","2",,,3,"","",2
10,"MATH 160","","","3",,,4,"","",2
11,"AUCC 3E","","",,,,4,"","",2
12,"CHEM 113","","","7;10",,,3,"","",3
13,"CHEM 114","","","8","12",,1,"","",3
14,"GEOL 232","","","7;10;2",,,3,"","",3
15,"GEOL 332","","",,"14",,4,"","",3
16,"PH 121","","","4",,,5,"","",3
17,"AUCC 3C","","",,,,3,"","",3
18,"GEOL 250","","","4;2;3",,,3,"","",4
19,"GEOL 364","","","14",,,4,"","",4
20,"MATH 161","","","10;3",,,4,"","",4
21,"CO 300","","","1",,,3,"","",4
22,"GEOL 344","","","9",,,4,"","",5
23,"PH 122","","","16",,,5,"","",5
24,"STAT 301","","","3",,,3,"","",5
25,"AUCC 3B","","",,,,3,"","",5
26,"GEOL 372","","","9;4",,,4,"","",6
27,"GEOL 376","","","22","26",,3,"","",6
28,"NR 319","","",,,,4,"","",6
29,"AUCC 3D","","",,,,3,"","",6
30,"GEOL 436","","","27;19",,,6,"","",7
31,"GEOL 366","","","9;19;12",,,4,"","",7
32,"GEOLOGY ELECTIVE 1","","",,,,4,"","",7
33,"ELECTIVE 1","","",,,,1,"","",7
34,"TECHNICAL ELECTIVE","","",,,,3,"","",7
35,"GEOL 454","","","2;24",,,4,"","",8
36,"GEOLOGY ELECTIVE 2","","",,,,3,"","",8
37,"ELECTIVE 2","","",,,,3,"","",8
38,"ELECTIVE 3","","",,,,2,"","",8
