Curriculum,"Geology, Geophysics Concentration",,,,,,,,,
Degree Plan,"Geology, Geophysics Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 111","","",,,,4,"","",1
2,"CHEM 112","","",,"1",,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"GEOL 150","","",,,,4,"","",1
5,"AUCC 3B","","",,,,3,"","",1
6,"CHEM 113","","","1","9",,3,"","",2
7,"CHEM 114","","","2","6",,1,"","",2
8,"GEOL 154","","","4",,,4,"","",2
9,"MATH 160","","",,,,4,"","",2
10,"AUCC 3C","","",,,,3,"","",2
11,"GEOL 232","","","4;9;1",,,3,"","",3
12,"MATH 161","","","9",,,4,"","",3
13,"PH 141","","","9",,,5,"","",3
14,"AUCC 3D","","",,,,3,"","",3
15,"GEOL 250","","","4;9",,,3,"","",4
16,"GEOL 364","","","11",,,4,"","",4
17,"MATH 151","","","9",,,1,"","",4
18,"MATH 261","","","12",,,4,"","",4
19,"GEOL 344","","","8",,,4,"","",5
20,"PH 142","","","13;12",,,5,"","",5
21,"STAT 301","","","9",,,3,"","",5
22,"AUCC 3B","","",,,,3,"","",5
23,"GEOL 372","","","9;13;8",,,4,"","",6
24,"GEOL 376","","","19","23",,3,"","",6
25,"MATH 340","","","18",,,4,"","",6
26,"CO 300","","","3",,,3,"","",6
27,"GEOL 436","","","16;24",,,6,"","",7
28,"DIRECTED TECHNICAL ELECTIVE 1","","",,,,4,"","",8
29,"DIRECTED TECHNICAL ELECTIVE 2","","",,,,4,"","",8
30,"ELECTIVE 1","","",,,,4,"","",8
31,"UD GEOLOGY ELECTIVE","","",,,,3,"","",9
32,"DIRECTED TECHNICAL ELECTIVE 3","","",,,,3,"","",9
33,"DIRECTED TECHNICAL ELECTIVE 4","","",,,,3,"","",9
34,"AUCC 3E","","",,,,3,"","",9
35,"ELECTIVE 2","","",,,,4,"","",9
