Curriculum,"Geology, Hydrogeology Concentration",,,,,,,,,
Degree Plan,"Geology, Hydrogeology Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"GEOL 150","","",,,,4,"","",1
3,"MATH 124","","",,,,1,"","",1
4,"MATH 125","","",,"3",,1,"","",1
5,"MATH 126","","",,"4",,1,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"AUCC 3C","","",,,,3,"","",1
8,"CHEM 111","","","3",,,4,"","",2
9,"CHEM 112","","",,"8",,1,"","",2
10,"GEOL 154","","","2",,,4,"","",2
11,"MATH 160","","","3",,,4,"","",2
12,"AUCC 3E","","",,,,3,"","",2
13,"CHEM 113","","","3;8",,,3,"","",3
14,"CHEM 114","","","9","13",,1,"","",3
15,"GEOL 232","","","2;3;8",,,3,"","",3
16,"GEOL 344","","","10",,,4,"","",3
17,"MATH 161","","","3;11",,,4,"","",3
18,"GEOL 364","","","15",,,4,"","",4
19,"CO 300","","","1",,,3,"","",4
20,"PH 141","","","5",,,5,"","",4
21,"AUCC 3D","","",,,,3,"","",4
22,"GEOL 366","","","13;10;18",,,4,"","",5
23,"MATH 261","","","17",,,4,"","",5
24,"PH 142","","","17;20",,,5,"","",5
25,"AUCC 3B","","",,,,3,"","",5
26,"GEOL 372","","","4;10;20",,,4,"","",6
27,"GEOL 376","","","16","26",,3,"","",6
28,"STAT 301","","","3",,,3,"","",6
29,"GEOL 436","","","27;18",,,6,"","",7
30,"GEOL 452","","","2;17",,,4,"","",8
31,"MATH 340","","","23",,,4,"","",8
32,"NR 319","","",,,,4,"","",8
33,"WR 416","","","2;28",,,3,"","",8
34,"GEOL 454","","","2;28",,,4,"","",9
35,"DIRECTED TECHNICAL ELECTIVE 1","","",,,,3,"","",9
36,"DIRECTED TECHNICAL ELECTIVE 2","","",,,,2,"","",9
37,"ELECTIVE 1","","",,,,2,"","",9
