Curriculum,"History, Social and Behavioral Sciences Concentration",,,,,,,,,
Degree Plan,"History, Social and Behavioral Sciences Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HIST 100","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,3,"","",1
5,"MATHEMATICS","","",,,,3,"","",1
6,"HIST 101","","",,,,3,"","",2
7,"AUCC 3B","","",,,,3,"","",2
8,"AUCC 3A","","",,,,4,"","",2
9,"AUCC 3E","","",,,,3,"","",2
10,"ELECTIVE 1","","",,,,2,"","",2
11,"HIST 150","","",,,,3,"","",3
12,"AUCC 3C","","",,,,3,"","",3
13,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 1","","",,,,3,"","",3
14,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 2","","",,,,3,"","",3
15,"EDUC 275","","",,,,3,"","",4
16,"ADVANCED WRITING","","","1",,,3,"","",4
17,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 3","","",,,,3,"","",4
18,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 4","","",,,,3,"","",4
19,"ELECTIVE 2","","",,,,3,"","",4
20,"ELECTIVE 3","","",,,,3,"","",4
21,"AUCC 4A","","",,,,3,"","",5
22,"UD HIST ***, NON U.S.","","","2",,,3,"","",5
23,"UD HIST ***, U.S.","","","2",,,3,"","",5
24,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 5","","",,,,3,"","",5
25,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 6","","",,,,3,"","",5
26,"ELECTIVE 4","","",,,,3,"","",5
27,"ELECTIVE 5","","",,,,3,"","",5
28,"UD HIST ***, NON U.S.","","",,,,3,"","",6
29,"UD HIST ***, U.S.","","",,,,3,"","",6
30,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 7","","",,,,3,"","",6
31,"ANTH, ECON, GR, POLS, PSY, SOC COURSE 8","","",,,,3,"","",6
32,"ELECTIVE 6","","",,,,3,"","",6
33,"ELECTIVE 7","","",,,,3,"","",6
34,"UD HIST ELECTIVE 1","","","2",,,3,"","",7
35,"UD HIST ELECTIVE 2","","","2",,,3,"","",7
36,"ELECTIVE 8","","",,,,3,"","",7
37,"HIST 492","","",,,,3,"","",8
38,"UD HIST ELECTIVE 3","","",,,,3,"","",8
39,"ELECTIVE 9","","",,,,3,"","",8
40,"ELECTIVE 10","","",,,,3,"","",8
