Curriculum,"Horticulture, Horticultural Business Management Concentration",,,,,,,,,
Degree Plan,"Horticulture, Horticultural Business Management Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"AREC 202","","",,"4",,3,"","",1
3,"BZ 120","","",,,,4,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"ELECTIVE 1","","",,,,3,"","",1
8,"CHEM 107","","","4",,,4,"","",2
9,"CHEM 108","","",,"8",,1,"","",2
10,"CO 150","","",,,,3,"","",2
11,"ECON 204","","","4;2",,,3,"","",2
12,"HORT 100","","",,,,4,"","",2
13,"ACT 205","","",,,,3,"","",3
14,"BUS 150","","",,,,3,"","",3
15,"SOCR 240","","","8",,,4,"","",3
16,"ELECTIVE 2","","",,,,3,"","",3
17,"ELECTIVE 3","","",,,,3,"","",3
18,"CHEM 245","","","8",,,4,"","",4
19,"HORT 260","","","3",,,4,"","",4
20,"SPCM 200","","",,,,3,"","",4
21,"ADVANCED WRITING","","","10",,,3,"","",4
22,"AREC 375","","",,,,3,"","",5
23,"UD BSPM 1","","",,,,2,"","",5
24,"MGT 305","","",,,,3,"","",5
25,"STAT 204","","","4",,,3,"","",5
26,"US HORT 1","","",,,,3,"","",5
27,"AREC 408","","",,,,3,"","",6
28,"UD BSPM 2","","",,,,3,"","",6
29,"BZ 440","","","3",,,3,"","",6
30,"MKT 305","","","2",,,3,"","",6
31,"UD HORT 2","","","12",,,3,"","",6
32,"HORT 310","","",,,,4,"","",7
33,"AUCC 3B","","",,,,3,"","",7
34,"AUCC 3E","","",,,,3,"","",7
35,"UD HORT 3","","",,,,3,"","",7
36,"UD AGRICULTURAL ECONOMICS, BUSINESS, OR ECONOMICS","","",,,,3,"","",7
37,"HORT 454","","","12",,,2,"","",8
38,"HORT 476","","","29",,,3,"","",8
39,"AUCC 3B","","",,,,3,"","",8
40,"AUCC 3D","","",,,,3,"","",8
41,"UD HORT 4","","","12",,,3,"","",8
42,"ELECTIVE 4","","",,,,3,"","",8
