Curriculum,"Horticulture, Viticulture and Enology Concentration",,,,,,,,,
Degree Plan,"Horticulture, Viticulture and Enology Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BZ 120","","",,,,4,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"AUCC 3B","","",,,,3,"","",1
8,"AREC 202","","","4",,,3,"","",2
9,"CHEM 107","","","4",,,4,"","",2
10,"CHEM 108","","",,"9",,1,"","",2
11,"HORT 100","","",,,,4,"","",2
12,"ELECTIVE 1","","",,,,3,"","",2
13,"CHEM 245","","","9",,,4,"","",3
14,"HORT 452","","","2",,,1,"","",3
15,"SOCR 240","","","9",,,4,"","",3
16,"AUCC 3B","","",,,,3,"","",3
17,"AUCC 3D","","",,,,3,"","",3
18,"HORT 260","","","2",,,4,"","",4
19,"LIFE 205","","","9",,,3,"","",4
20,"SPCM 200","","",,,,3,"","",4
21,"STAT 301","","","4",,,3,"","",4
22,"AUCC 3E","","",,,,3,"","",4
23,"BUS 150","","",,,,3,"","",5
24,"BSPM 302","","",,,,2,"","",5
25,"BSPM 303B","","",,"24",,1,"","",5
26,"FTEC 400","","","9",,,3,"","",5
27,"HORT 277","","",,,,1,"","",5
28,"SOCR 350","","","9;10;15",,,3,"","",5
29,"ADVANCED WRITING","","","3",,,3,"","",5
30,"BSPM 361","","","2",,,3,"","",6
31,"BZ 440","","","2",,,3,"","",6
32,"HORT 487","","","8",,,2,"","",6
33,"MKT 305","","","8",,,3,"","",6
34,"SOCR 330","","","2",,,3,"","",6
35,"BSPM 308","","","9;2",,,3,"","",7
36,"HORT 310","","",,,,4,"","",7
37,"HORT 450C","","","2",,,1,"","",7
38,"HORT 450D","","","2",,,1,"","",7
39,"HORT 462","","",,,,3,"","",7
40,"HORT 477","","","9",,,3,"","",7
41,"HORT 454","","","11",,,2,"","",8
42,"HORT 476","","","31",,,3,"","",8
43,"HORT 487","","",,,,2,"","",8
44,"SOCR 370","","","2;15",,,2,"","",8
45,"ELECTIVE 2","","",,,,3,"","",8
46,"ELECTIVE 3","","",,,,3,"","",8
