Curriculum,"Human Development and Family Studies, Early Childhood Professions Concentration",,,,,,,,,
Degree Plan,"Human Development and Family Studies, Early Childhood Professions Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HDFS 101","","",,,,3,"","",1
3,"HDFS 277","","",,"1",,1,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"AUCC 3D","","",,,,3,"","",1
6,"MATHEMATICS","","",,,,3,"","",1
7,"PSY 100","","",,,,3,"","",2
8,"SOC 100","","",,,,3,"","",2
9,"BZ 101","","",,,,3,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"AUCC 3E","","",,,,3,"","",2
12,"HDFS 310","","","2",,,3,"","",3
13,"HDFS 311","","","2",,,3,"","",3
14,"HDFS 312","","","2",,,3,"","",3
15,"HDFS 334","","","2",,,3,"","",3
16,"AUCC 3A","","",,,,4,"","",3
17,"CO 300","","","1",,,3,"","",4
18,"STAT 201","","",,,,3,"","",4
19,"EARLY CHILDHOOD PROFESSIONS CONCENTRATION COURSE 1","","",,,,3,"","",4
20,"ELECTIVE 1","","",,,,3,"","",4
21,"ELECTIVE 2","","",,,,3,"","",4
22,"HDFS 350","","","2;18",,,3,"","",5
23,"HDFS 375","","","2",,,3,"","",5
24,"EARLY CHILDHOOD PROFESSIONS CONCENTRATION COURSE 2","","",,,,3,"","",5
25,"ELECTIVE 3","","",,,,5,"","",5
26,"HDFS 402","","","15",,,3,"","",6
27,"HDFS 434","","","13;12",,,3,"","",6
28,"EARLY CHILDHOOD PROFESSIONS CONCENTRATION COURSE 3","","",,,,3,"","",6
29,"ELECTIVE 4","","",,,,3,"","",6
30,"ELECTIVE 5","","",,,,3,"","",6
31,"HDFS 410","","","12",,,3,"","",7
32,"HDFS 477","","","3",,,1,"","",7
33,"HDFS 488B","","",,"32",,5,"","",7
34,"EARLY CHILDHOOD PROFESSIONS CONCENTRATION COURSE 4","","",,,,3,"","",7
35,"ELECTIVE 6","","",,,,3,"","",7
36,"HDFS 492","","","32;22",,,3,"","",8
37,"ELECTIVE 7","","",,,,3,"","",8
38,"ELECTIVE 8","","",,,,3,"","",8
39,"ELECTIVE 9","","",,,,5,"","",8
