Curriculum,"Human Dimensions of Natural Resources",,,,,,,,,
Degree Plan,"Human Dimensions of Natural Resources",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BZ 110","","",,,,3,"","",1
2,"BZ 111","","",,"1",,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"AUCC 3B","","",,,,3,"","",1
8,"SPCM 200","","",,,,3,"","",2
9,"AUCC 3B","","",,,,3,"","",2
10,"AUCC 3A","","",,,,3,"","",2
11,"AUCC 3C","","",,,,3,"","",2
12,"ELECTIVE 1","","",,,,3,"","",2
13,"LAND 220","","","4;1",,,3,"","",3
14,"NRRT 231","","",,,,3,"","",3
15,"NRRT 262","","",,,,3,"","",3
16,"NATURAL RESOURCES ELECTIVE 1","","",,,,3,"","",3
17,"ELECTIVE 2","","",,,,2,"","",3
18,"CO 300","","","3",,,3,"","",4
19,"STAT 201","","","4",,,3,"","",4
20,"NATURAL RESOURCES ELECTIVE 2","","",,,,3,"","",4
21,"AUCC 3E","","",,,,3,"","",4
22,"ELECTIVE 3","","",,,,3,"","",4
23,"NR 220","","","2;5;1",,,5,"","",5
24,"NR 320","","",,,,3,"","",6
25,"NR 377","","",,,,1,"","",6
26,"NRRT 301","","","14;15",,,3,"","",6
27,"NRRT 340","","","14",,,3,"","",6
28,"NRRT 376","","","19",,,3,"","",6
29,"NATURAL RESOURCES ELECTIVE 3","","",,,,3,"","",6
30,"NR 300","","",,,,3,"","",7
31,"NR 319","","",,,,4,"","",7
32,"NRRT 330","","",,,,3,"","",7
33,"NRRT 440","","","15",,,3,"","",7
34,"NR 440","","","27",,,3,"","",8
35,"NRRT 362","","","15",,,3,"","",8
36,"NRRT 400","","","14",,,3,"","",8
37,"NRRT 401","","","14",,,3,"","",8
38,"NATURAL RESOURCES ELECTIVE 4","","",,,,3,"","",8
39,"NR 310","","","13",,,3,"","",9
40,"NRRT 431","","","14;13",,,3,"","",9
41,"NRRT 463","","","14;15",,,3,"","",9
42,"NRRT 487","","",,,,5,"","",9
