Curriculum,"Interdisciplinary Liberal Arts",,,,,,,,,
Degree Plan,"Interdisciplinary Liberal Arts",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"AUCC 3B","","",,,,3,"","",1
3,"AUCC 3A","","",,,,3,"","",1
4,"MATHEMATICS","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"SPCM 200","","",,,,3,"","",2
7,"AUCC 3B","","",,,,3,"","",2
8,"AUCC 3D","","",,,,3,"","",2
9,"AUCC 3C","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"AUCC 3A","","",,,,4,"","",3
12,"ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 1","","",,,,3,"","",3
13,"SECOND FIELD COURSE 1","","",,,,3,"","",3
14,"ELECTIVE 3","","",,,,5,"","",3
15,"ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 2","","",,,,3,"","",4
16,"AUCC 3E","","",,,,3,"","",4
17,"SECOND FIELD COURSE 2","","",,,,4,"","",4
18,"ELECTIVE 4","","",,,,5,"","",4
19,"LB 392","","",,,,3,"","",5
20,"ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 3","","",,,,3,"","",5
21,"ADVANCED WRITING","","","1",,,3,"","",5
22,"UD ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 1","","","15",,,3,"","",5
23,"SECOND FIELD COURSE 3","","",,,,3,"","",5
24,"ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 4","","",,,,3,"","",6
25,"UD ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 2","","",,,,3,"","",6
26,"UD ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 3","","",,,,3,"","",6
27,"SECOND FIELD COURSE 4","","","13",,,3,"","",6
28,"SECOND FIELD COURSE 5","","",,,,3,"","",6
29,"AUCC 4B","","",,,,3,"","",7
30,"UD ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 4","","",,,,3,"","",7
31,"SECOND FIELD COURSE 6","","",,,,3,"","",7
32,"ELECTIVE 5","","",,,,3,"","",7
33,"ELECTIVE 6","","",,,,3,"","",7
34,"LB 490","","",,"35",,1,"","",8
35,"LB 492","","",,,,3,"","",8
36,"UD ARTS & HUMANITIES/SOCIAL SCIENCES COURSE 5","","",,,,3,"","",8
37,"SECOND FIELD COURSE 7","","",,,,3,"","",8
38,"ELECTIVE 7","","",,,,5,"","",8
