Curriculum,"Mathematics, Actuarial Science Concentration",,,,,,,,,
Degree Plan,"Mathematics, Actuarial Science Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"ECON 202","","",,,,3,"","",1
3,"MATH 160","","",,,,4,"","",1
4,"MATH 192","","",,,,1,"","",1
5,"AUCC 3B","","",,,,3,"","",1
6,"ECON 204","","","2;3",,,3,"","",2
7,"MATH 161","","","3",,,4,"","",2
8,"AUCC 3A","","",,,,5,"","",2
9,"AUCC 3E","","",,,,2,"","",2
10,"ELECTIVE 1","","",,,,1,"","",2
11,"ACT 210","","",,,,3,"","",3
12,"MATH 261","","","7",,,4,"","",3
13,"AUCC 3A","","",,,,5,"","",3
14,"AUCC 3D","","",,,,3,"","",3
15,"CS 163","","",,,,4,"","",4
16,"FIN 310","","","6",,,3,"","",4
17,"MATH 235","","","7",,,2,"","",4
18,"MATH 369","","","7",,,3,"","",4
19,"STAT 315","","","3",,,3,"","",4
20,"FIN 300","","","2;3;11;6",,,3,"","",5
21,"JTC 300","","","1",,,3,"","",5
22,"MATH 340","","","12",,,4,"","",5
23,"STAT 420","","","12",,,3,"","",5
24,"ELECTIVE 2","","",,,,2,"","",5
25,"ECON 335","","","3;19;6",,,3,"","",6
26,"MATH 317","","","7;17",,,3,"","",6
27,"STAT 421","","","23;18",,,3,"","",6
28,"STAT 430","","","23",,,3,"","",6
29,"AUCC 3B","","",,,,3,"","",6
30,"FIN 342","","","20",,,3,"","",7
31,"FIN 370","","","20",,,3,"","",7
32,"MATH 417","","","26;18",,,3,"","",7
33,"ELECTIVE 3","","",,,,3,"","",7
34,"ELECTIVE 4","","",,,,3,"","",7
35,"BUS 205","","",,,,3,"","",8
36,"MATH 435","","","15;22;18",,,3,"","",8
37,"MATH 495","","",,,,2,"","",8
38,"ELECTIVE 5","","",,,,4,"","",8
39,"ELECTIVE 6","","",,,,4,"","",8
