Curriculum,"Mathematics, Applied Mathematics Concentration",,,,,,,,,
Degree Plan,"Mathematics, Applied Mathematics Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 160","","",,,,4,"","",1
3,"MATH 192","","",,,,1,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"AUCC 3D","","",,,,3,"","",1
6,"MATH 161","","","2",,,4,"","",2
7,"AUCC 3B","","",,,,3,"","",2
8,"AUCC 3C","","",,,,5,"","",2
9,"AUCC 3E","","",,,,2,"","",2
10,"ELECTIVE 1","","",,,,3,"","",2
11,"MATH 261","","","6",,,4,"","",3
12,"PH 141","","","2",,,5,"","",3
13,"STAT 315","","","2",,,3,"","",3
14,"CS 163","","",,,,4,"","",3
15,"MATH 235","","","6",,,2,"","",4
16,"MATH 369","","","6",,,3,"","",4
17,"PH 142","","","12;6",,,5,"","",4
18,"MATH 340","","","11",,,3,"","",4
19,"MATH 450","","","14;11",,,3,"","",5
20,"MATH 301","","","6",,,3,"","",5
21,"MATH 331","","","16;6",,,3,"","",5
22,"RELATED AREA COURSE 1","","",,,,3,"","",5
23,"ELECTIVE 2","","",,,,3,"","",5
24,"MATH 317","","","15;6",,,3,"","",6
25,"MATH 451","","","14;18",,,3,"","",6
26,"AUCC 3A","","",,,,3,"","",6
27,"MATHEMATICAL SCIENCE ELECTIVE 1","","",,,,3,"","",6
28,"RELATED AREA COURSE 2","","",,,,3,"","",6
29,"MATHEMATICAL SCIENCE ELECTIVE 2","","",,,,3,"","",7
30,"MATHEMATICAL SCIENCE ELECTIVE 3","","",,,,3,"","",7
31,"RELATED AREA COURSE 3","","",,,,3,"","",7
32,"ELECTIVE 3","","",,,,3,"","",7
33,"ELECTIVE 4","","",,,,3,"","",7
34,"JTC 300","","","1",,,3,"","",8
35,"MATH 435","","","14;16;18",,,3,"","",8
36,"MATH 417","","","16;24",,,3,"","",8
37,"RELATED AREA COURSE 4","","",,,,3,"","",8
38,"ELECTIVE 5","","",,,,3,"","",8
