Curriculum,"Mathematics, Computational Mathematics Concentration",,,,,,,,,
Degree Plan,"Mathematics, Computational Mathematics Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 160","","",,,,4,"","",1
3,"MATH 192","","",,,,1,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"AUCC 3D","","",,,,3,"","",1
6,"MATH 161","","","2",,,4,"","",2
7,"PH 141","","","2",,,5,"","",2
8,"AUCC 3B","","",,,,3,"","",2
9,"AUCC 3C","","",,,,5,"","",2
10,"ELECTIVE 1","","",,,,1,"","",2
11,"CS 163","","",,,,4,"","",3
12,"MATH 261","","","6",,,4,"","",3
13,"MATH 331","","","6",,,3,"","",3
14,"STAT 315","","","2",,,3,"","",3
15,"AUCC 3E","","",,,,3,"","",3
16,"CS 165","","","2;11",,,4,"","",4
17,"MATH 235","","","6",,,2,"","",4
18,"MATH 369","","","6",,,3,"","",4
19,"PH 142","","","7;6",,,5,"","",4
20,"CS 200","","","2",,,4,"","",5
21,"MATH 340","","","12",,,3,"","",5
22,"MATH 450","","","11;12",,,3,"","",5
23,"AUCC 3A","","",,,,3,"","",5
24,"MATH 317","","","17;6",,,3,"","",6
25,"MATH 332","","","21",,,3,"","",6
26,"MATH 451","","","11;21",,,3,"","",6
27,"ELECTIVE 1","","",,,,4,"","",6
28,"ELECTIVE 2","","",,,,3,"","",6
29,"JTC 300","","","1",,,3,"","",7
30,"ECE 430","","","21",,,3,"","",7
31,"STAT 341","","","14",,,3,"","",7
32,"ELECTIVE 3","","",,,,3,"","",7
33,"ELECTIVE 4","","",,,,3,"","",7
34,"MATH 435","","","11;21;18",,,3,"","",8
35,"ELECTIVE 5","","",,,,3,"","",8
36,"ELECTIVE 6","","",,,,3,"","",8
37,"ELECTIVE 7","","",,,,4,"","",8
