Curriculum,"Music, Composition Concentration",,,,,,,,,
Degree Plan,"Music, Composition Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MU 117","","",,,,3,"","",1
2,"MU 127","","",,,,1,"","",1
3,"MU 131","","",,,,3,"","",1
4,"MU 150","","",,,,1,"","",1
5,"MU 172A","","",,,,1,"","",1
6,"ENSEMBLE 1","","",,,,1,"","",1
7,"AUCC 3D","","",,,,3,"","",1
8,"ELECTIVE 1","","",,,,2,"","",1
9,"CO 150","","",,,,3,"","",2
10,"MU 118","","","1",,,3,"","",2
11,"MU 128","","","2",,,1,"","",2
12,"MU 151B","","","4",,,1,"","",2
13,"MU 172B","","",,,,1,"","",2
14,"ENSEMBLE 2","","",,,,1,"","",2
15,"MATHEMATICS","","",,,,3,"","",2
16,"ELECTIVE 2","","",,,,1,"","",2
17,"MU 217","","","10",,,3,"","",3
18,"MU 227","","","11",,,1,"","",3
19,"MU 272*","","",,,,1,"","",3
20,"MU 273","","","10;3",,,1,"","",3
21,"ENSEMBLE 3","","",,,,1,"","",3
22,"ADVANCED WRITING","","","9",,,3,"","",3
23,"ELECTIVE 3","","",,,,3,"","",3
24,"ELECTIVE 4","","",,,,3,"","",3
25,"MU 218","","","17",,,3,"","",4
26,"MU 228","","","18",,,1,"","",4
27,"MU 272*","","",,,,1,"","",4
28,"MU 273","","","10;3",,,1,"","",4
29,"ENSEMBLE 4","","",,,,1,"","",4
30,"PSY 100","","",,,,3,"","",4
31,"ELECTIVE 5","","",,,,5,"","",4
32,"MU 254","","","1",,,2,"","",5
33,"MU 317","","","25",,,2,"","",5
34,"MU 334","","","10;3",,,3,"","",5
35,"MU 473","","","20",,,2,"","",5
36,"MU 499","","",,,,1,"","",5
37,"ENSEMBLE 5","","",,,,1,"","",5
38,"MUSIC ELECTIVE ","","",,,,3,"","",5
39,"MU 318","","","25",,,2,"","",6
40,"MU 335","","","10;3",,,3,"","",6
41,"MU 355","","","32",,,2,"","",6
42,"MU 473","","","20",,,2,"","",6
43,"ENSEMBLE 6","","",,,,1,"","",6
44,"AUCC 3B","","",,,,3,"","",6
45,"ELECTIVE 6","","",,,,2,"","",6
46,"MU 417","","","25",,,3,"","",7
47,"MU 473","","","20",,,2,"","",7
48,"ENSEMBLE 7","","",,,,1,"","",7
49,"AUCC 3A","","",,,,7,"","",7
50,"ELECTIVE 7","","",,,,3,"","",7
51,"MU 418","","","39",,,2,"","",8
52,"MU 419","","","25",,,2,"","",8
53,"MU 471","","",,,,1,"","",8
54,"MU 473","","","20",,,2,"","",8
55,"ENSEMBLE 8","","",,,,1,"","",8
56,"AUCC 3E","","",,,,3,"","",8
57,"ELECTIVE 8","","",,,,4,"","",8
