Curriculum,"Music, Performance Concentration, Orchestral Instrument Option",,,,,,,,,
Degree Plan,"Music, Performance Concentration, Orchestral Instrument Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MU 117","","",,,,3,"","",1
3,"MU 127","","",,,,1,"","",1
4,"MU 150","","",,,,1,"","",1
5,"MU 272*","","",,,,2,"","",1
6,"ENSEMBLE","","",,,,1,"","",1
7,"MATHEMATICS","","",,,,3,"","",1
8,"MU 118","","","2",,,3,"","",2
9,"MU 128","","","3",,,1,"","",2
10,"MU 131","","",,,,3,"","",2
11,"MU 151B","","","4",,,1,"","",2
12,"MU 272*","","",,,,2,"","",2
13,"ENSEMBLE","","",,,,1,"","",2
14,"AUCC 3D","","",,,,3,"","",2
15,"MU 217","","","8",,,3,"","",3
16,"MU 227","","","9",,,1,"","",3
17,"MU 272*","","",,,,2,"","",3
18,"ENSEMBLE","","",,,,1,"","",3
19,"PSY 100","","",,,,3,"","",3
20,"ELECTIVE 1","","",,,,5,"","",3
21,"MU 218","","","15",,,3,"","",4
22,"MU 228","","","16",,,1,"","",4
23,"MU 272*","","",,,,2,"","",4
24,"ENSEMBLE","","",,,,1,"","",4
25,"ADVANCED WRITING","","","1",,,3,"","",4
26,"ELECTIVE 2","","",,,,3,"","",4
27,"ELECTIVE 3","","",,,,3,"","",4
28,"MU 254","","","2",,,2,"","",5
29,"MU 317","","","21",,,2,"","",5
30,"MU 334","","","10;8",,,3,"","",5
31,"MU 417","","","21",,,3,"","",5
32,"MU 472*","","",,,,2,"","",5
33,"ENSEMBLE","","",,,,1,"","",5
34,"ELECTIVE 4","","",,,,2,"","",5
35,"MU 318","","",,,,2,"","",6
36,"MU 335","","","10;8",,,3,"","",6
37,"MU 471","","",,,,1,"","",6
38,"MU 472*","","",,,,2,"","",6
39,"ENSEMBLE","","",,,,1,"","",6
40,"AUCC 3B","","",,,,3,"","",6
41,"ELECTIVE 5","","",,,,4,"","",6
42,"MU 472*","","",,,,2,"","",7
43,"ENSEMBLE","","",,,,1,"","",7
44,"AUCC 3A","","",,,,3,"","",7
45,"AUCC 3E","","",,,,3,"","",7
46,"MUSIC ELECTIVE","","",,,,3,"","",7
47,"ELECTIVE 6","","",,,,3,"","",7
48,"MU 471","","",,,,1,"","",8
49,"MU 472*","","",,,,2,"","",8
50,"ENSEMBLE","","",,,,1,"","",8
51,"AUCC 3A","","",,,,4,"","",8
52,"ELECTIVE 7","","",,,,4,"","",8
53,"ELECTIVE 8","","",,,,3,"","",8
