Curriculum,"Music, Performance Concentration, Piano Pedagogy Option",,,,,,,,,
Degree Plan,"Music, Performance Concentration, Piano Pedagogy Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MU 117","","",,,,3,"","",1
3,"MU 127","","",,,,1,"","",1
4,"MU 272I","","",,,,1,"","",1
5,"ENSEMBLE","","",,,,1,"","",1
6,"MATHEMATICS","","",,,,3,"","",1
7,"ELECTIVE 1","","",,,,3,"","",1
8,"MU 118","","","2",,,3,"","",2
9,"MU 128","","","3",,,1,"","",2
10,"MU 131","","",,,,3,"","",2
11,"MU 272I","","",,,,1,"","",2
12,"ENSEMBLE","","",,,,1,"","",2
13,"AUCC 3D","","",,,,3,"","",2
14,"ELECTIVE 2","","",,,,3,"","",2
15,"MU 217","","","8",,,3,"","",3
16,"MU 227","","","9",,,1,"","",3
17,"MU 272I","","",,,,2,"","",3
18,"PSY 100","","",,,,3,"","",3
19,"ADVANCED WRITING","","","1",,,3,"","",3
20,"L*** FOREIGN LANGUAGE 1","","",,,,5,"","",3
21,"ENSEMBLE","","",,,,1,"","",3
22,"MU 218","","","15",,,3,"","",4
23,"MU 228","","","16",,,1,"","",4
24,"MU 272I","","",,,,2,"","",4
25,"L*** FOREIGN LANGUAGE 2","","","20",,,5,"","",4
26,"ENSEMBLE","","","1",,,1,"","",4
27,"ELECTIVE 3","","",,,,4,"","",4
28,"MU 317","","","22",,,2,"","",5
29,"MU 334","","","10;8",,,3,"","",5
30,"MU 417","","","22",,,3,"","",5
31,"MU 472I","","","4",,,2,"","",5
32,"MU 495G","","",,,,1,"","",5
33,"ENSEMBLE","","",,,,1,"","",5
34,"MU 318","","","22",,,2,"","",6
35,"MU 335","","","10;8",,,3,"","",6
36,"MU 472I","","","4",,,2,"","",6
37,"MU 495G","","",,,,2,"","",6
38,"PSY 260","","","18",,,3,"","",6
39,"ENSEMBLE","","",,,,1,"","",6
40,"AUCC 3B","","",,,,3,"","",6
41,"MU 465","","",,,,2,"","",7
42,"MU 472I","","","4",,,2,"","",7
43,"MU 495G","","",,,,1,"","",7
44,"ENSEMBLE","","",,,,1,"","",7
45,"MUSIC ELECTIVE","","",,,,3,"","",7
46,"AUCC 3A","","",,,,4,"","",7
47,"MU 471","","",,,,1,"","",8
48,"MU 472I","","","4",,,2,"","",8
49,"MU 495G","","",,,,2,"","",8
50,"ENSEMBLE","","",,,,1,"","",8
51,"AUCC 3A","","",,,,3,"","",8
52,"AUCC 3E","","",,,,3,"","",8
53,"ELECTIVE 5","","",,,,3,"","",8
