Curriculum,"Music, Performance Concentration, String Pedagogy Option",,,,,,,,,
Degree Plan,"Music, Performance Concentration, String Pedagogy Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MU 117","","",,,,3,"","",1
3,"MU 127","","",,,,1,"","",1
4,"MU 131","","",,,,3,"","",1
5,"MU 150","","",,,,1,"","",1
6,"MU 272M","","",,,,1,"","",1
7,"ENSEMBLE","","",,,,1,"","",1
8,"MATHEMATICS","","",,,,3,"","",1
9,"MU 118","","","2",,,3,"","",2
10,"MU 128","","","3",,,1,"","",2
11,"MU 151B","","","5",,,1,"","",2
12,"MU 272N","","",,,,1,"","",2
13,"ENSEMBLE","","",,,,1,"","",2
14,"AUCC 3D","","",,,,3,"","",2
15,"ELECTIVE 1","","",,,,5,"","",2
16,"MU 217","","","9",,,3,"","",3
17,"MU 227","","","10",,,1,"","",3
18,"MU 272O","","",,,,2,"","",3
19,"ADVANCED WRITING","","","1",,,3,"","",3
20,"PSY 100","","",,,,5,"","",3
21,"ENSEMBLE","","",,,,1,"","",3
22,"ELECTIVE 2","","",,,,3,"","",3
23,"MU 218","","","16",,,3,"","",4
24,"MU 228","","","17",,,1,"","",4
25,"MU 272M","","",,,,1,"","",4
26,"ENSEMBLE","","","1",,,1,"","",4
27,"ELECTIVE 3","","",,,,4,"","",4
28,"ELECTIVE 4","","",,,,3,"","",4
29,"MU 254","","","2",,,2,"","",5
30,"MU 317","","","23",,,2,"","",5
31,"MU 334","","","9;4",,,3,"","",5
32,"MU 351A","","",,,,2,"","",5
33,"MU 417","","","23",,,3,"","",5
34,"MU 472M","","","6",,,2,"","",5
35,"ENSEMBLE","","",,,,1,"","",5
36,"MU 318","","","23",,,2,"","",6
37,"MU 335","","","4;9",,,3,"","",6
38,"MU 352A","","","32",,,2,"","",6
39,"MU 472M","","","6",,,2,"","",6
40,"PSY 260","","","20",,,3,"","",6
41,"ENSEMBLE","","",,,,1,"","",6
42,"AUCC 3B","","",,,,3,"","",6
43,"MU 451A","","","38",,,2,"","",7
44,"MU 472N","","","12",,,2,"","",7
45,"ENSEMBLE","","",,,,1,"","",7
46,"MUSIC ELECTIVE","","",,,,3,"","",7
47,"AUCC 3A","","",,,,4,"","",7
48,"MU 464A","","","12;18",,,2,"","",8
49,"MU 471","","",,,,1,"","",8
50,"MU 472O","","","18",,,2,"","",8
51,"ENSEMBLE","","",,,,1,"","",8
52,"AUCC 3A","","",,,,3,"","",8
53,"AUCC 3E","","",,,,3,"","",8
54,"ELECTIVE 5","","",,,,3,"","",8
