Curriculum,"Natural Resource Tourism, Global Tourism Concentration",,,,,,,,,
Degree Plan,"Natural Resource Tourism, Global Tourism Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 117","","",,,,1,"","",1
3,"MATH 118","","",,"2",,1,"","",1
4,"MATH 124","","",,"3",,1,"","",1
5,"AUCC 3B","","",,,,3,"","",1
6,"AUCC 3A","","",,,,3,"","",1
7,"NR 120A","","",,,,3,"","",1
8,"ECON 202","","","2",,,3,"","",2
9,"SPCM 200","","",,,,3,"","",2
10,"L*** 10* FOREIGN LANGUAGE","","",,,,5,"","",2
11,"AUCC 3A","","",,,,4,"","",2
12,"ACT 205","","",,,,3,"","",3
13,"L*** 200 FOREIGN LANGUAGE","","","10",,,3,"","",3
14,"NRRT 270","","",,,,3,"","",3
15,"RRM 101","","",,,,3,"","",3
16,"BUS 205","","",,,,3,"","",4
17,"L*** 201 FOREIGN LANGUAGE","","","13",,,3,"","",4
18,"RRM 200","","","15",,,3,"","",4
19,"STAT 201","","","2",,,3,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"L*** 30* FOREIGN LANGUAGE","","","17",,,3,"","",5
22,"MGT 305","","",,,,3,"","",5
23,"NR 320","","",,,,3,"","",5
24,"NR 377","","",,,,1,"","",5
25,"NRRT 376","","","19",,,3,"","",5
26,"CO 300","","","1",,,3,"","",5
27,"L*** 3** FOREIGN LANGUAGE","","","21",,,3,"","",6
28,"MKT 305","","","8",,,3,"","",6
29,"NRRT 320","","",,,,3,"","",6
30,"NRRT 370","","","14",,,3,"","",6
31,"AUCC 3E","","",,,,3,"","",6
32,"MKT 365","","","28",,,3,"","",7
33,"NRRT 442","","","14",,,3,"","",7
34,"NRRT 471","","","14",,,3,"","",7
35,"RRM 350","","","15",,,3,"","",7
36,"UD LANGUAGE ELECTIVE 1","","",,,,3,"","",7
37,"UD LANGUAGE ELECTIVE 2","","",,,,3,"","",7
38,"NR 300","","","7",,,3,"","",8
39,"NRRT 470","","","14",,,3,"","",8
40,"NRRT 487","","",,,,4,"","",8
41,"NRRT 499","","",,,,3,"","",8
42,"UD LANGUAGE ELECTIVE 3","","",,,,3,"","",8
