Curriculum,"Natural Resources Management",,,,,,,,,
Degree Plan,"Natural Resources Management",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BZ 120","","",,,,4,"","",1
2,"CO 150","","",,,,3,"","",1
3,"MATH 117","","",,,,1,"","",1
4,"MATH 118","","",,"3",,1,"","",1
5,"MATH 125","","",,"4",,1,"","",1
6,"NR 193","","",,,,1,"","",1
7,"AUCC 3B","","",,,,3,"","",1
8,"ELECTIVE 1","","",,,,1,"","",1
9,"BZ 110","","",,,,3,"","",2
10,"CHEM 107","","","3",,,4,"","",2
11,"CHEM 108","","",,"10",,1,"","",2
12,"SPCM 200","","",,,,3,"","",2
13,"AUCC 3B","","",,,,3,"","",2
14,"ELECTIVE 2","","",,,,1,"","",2
15,"ECON 202","","","3",,,3,"","",3
16,"F 310","","","9",,,3,"","",3
17,"F 312","","",,,,1,"","",3
18,"LAND 220","","","9",,,3,"","",3
19,"SOCR 240","","","10",,,4,"","",3
20,"GEOL 120","","",,,,3,"","",4
21,"GEOL 121","","",,"20",,1,"","",4
22,"STAT 301","","","3",,,3,"","",4
23,"AUCC 3E","","",,,,3,"","",4
24,"MINOR COURSE 1","","",,,,3,"","",4
25,"ELECTIVE 3","","",,,,2,"","",4
26,"NR 220","","","9;4",,,5,"","",5
27,"F 311","","","18",,,3,"","",6
28,"NR 319","","",,,,4,"","",6
29,"NR 326","","","26",,,3,"","",6
30,"MINOR COURSE 2","","",,,,3,"","",6
31,"F 322","","","15",,,3,"","",7
32,"GR 304","","",,,,3,"","",7
33,"NR 320","","",,,,3,"","",7
34,"CO 300","","","2",,,3,"","",7
35,"MINOR COURSE 3","","",,,,3,"","",7
36,"F 326","","","18",,,3,"","",8
37,"NR 400","","","34",,,3,"","",8
38,"RS 300","","","1",,,3,"","",8
39,"MINOR COURSE 4","","",,,,3,"","",8
40,"MINOR COURSE 5","","",,,,3,"","",8
41,"NR 420","","","26;28;33;18",,,4,"","",9
42,"NR 421","","","26;22",,,3,"","",9
43,"MINOR COURSE 6","","",,,,3,"","",9
44,"MINOR COURSE 7","","",,,,3,"","",9
