Curriculum,"Natural Sciences, Geology Education Concentration",,,,,,,,,
Degree Plan,"Natural Sciences, Geology Education Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"GEOL 120","","",,,,3,"","",1
3,"GEOL 121","","",,"2",,1,"","",1
4,"LIFE 102","","",,,,4,"","",1
5,"MATH 155","","",,,,4,"","",1
6,"AA 100","","",,,,3,"","",2
7,"CHEM 111","","","5",,,4,"","",2
8,"CHEM 112","","",,"7",,1,"","",2
9,"GEOL 154","","","2",,,4,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"CHEM 113","","","7;5",,,3,"","",3
12,"CHEM 114","","","8","11",,1,"","",3
13,"GEOL 232","","","7;2;5",,,3,"","",3
14,"STAT 301","","","5",,,3,"","",3
15,"AUCC 3D","","",,,,3,"","",3
16,"SCIENCE ELECTIVE","","",,,,3,"","",3
17,"EDUC 275","","",,,,3,"","",4
18,"EDUC 340","","",,,,3,"","",4
19,"LIFE 103","","","4",,,4,"","",4
20,"MATH 255","","","5",,,4,"","",4
21,"ADVANCED WRITING","","","1",,,3,"","",4
22,"EDUC 331","","","17;18",,,2,"","",5
23,"EDUC 350","","","17;18",,,3,"","",5
24,"EDUC 386","","","17;18",,,1,"","",5
25,"GEOL 250","","","2;5",,,3,"","",5
26,"PH 141","","","5",,,5,"","",5
27,"GEOL 342","","","9",,,3,"","",6
28,"GEOL 454","","","14;2",,,4,"","",6
29,"PH 142","","","26;20",,,5,"","",6
30,"AUCC 3E","","",,,,3,"","",6
31,"ATS 350","","",,,,2,"","",7
32,"EDUC 450","","","23;22;24",,,4,"","",7
33,"EDUC 460","","",,,,4,"","",7
34,"EDUC 486E","","",,,,1,"","",7
35,"GEOL 344","","","9",,,4,"","",7
36,"AUCC 3B","","",,,,3,"","",7
37,"EDUC 485B","","","32;33",,,11,"","",8
38,"EDUC 493A","","","32;33","37",,1,"","",8
