Curriculum,"Neuroscience, Cell and Molecular Neuroscience Concentration",,,,,,,,,
Degree Plan,"Neuroscience, Cell and Molecular Neuroscience Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"LIFE 102","","",,,,4,"","",1
2,"CHEM 111","","",,,,4,"","",1
3,"CHEM 112","","",,"2",,1,"","",1
4,"CO 150","","",,,,3,"","",1
5,"NB 192","","",,,,1,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"CHEM 113","","","2",,,3,"","",2
8,"CHEM 114","","","3","7",,1,"","",2
9,"MATH 155","","",,,,4,"","",2
10,"PSY 100","","",,,,3,"","",2
11,"LIFE 201B","","","1",,,3,"","",2
12,"LIFE 203","","",,"11",,2,"","",2
13,"CHEM 341","","","7",,,3,"","",3
14,"LIFE 210","","","2;3;1",,,3,"","",3
15,"LIFE 212","","","3","14",,2,"","",3
16,"MATH 255","","","9",,,4,"","",3
17,"CO 300","","","4",,,3,"","",3
18,"CHEM 343","","","13",,,3,"","",4
19,"CHEM 344","","","8","18",,2,"","",4
20,"PH 121","","","9",,,5,"","",4
21,"PSY 252","","","10",,,3,"","",4
22,"AUCC 3B","","",,,,3,"","",4
23,"BC 401","","","9;18",,,3,"","",5
24,"BMS 300","","","2;1",,,4,"","",5
25,"PH 122","","","20",,,5,"","",5
26,"STAT 301","","","9",,,3,"","",5
27,"BC 403","","","13",,,3,"","",6
28,"BC 404","","","23;19;12",,,2,"","",6
29,"BMS 345","","","24",,,4,"","",6
30,"NB 399","","","17;24",,,1,"","",6
31,"AUCC 3E","","",,,,3,"","",6
32,"AUCC 3E","","",,,,3,"","",6
33,"BMS 325","","","24",,,3,"","",7
34,"MIP 300","","","13;1",,,3,"","",7
35,"NB 493","","",,,,1,"","",7
36,"ELECTIVE 1","","",,,,3,"","",7
37,"ELECTIVE 2","","",,,,3,"","",7
38,"BC 465","","","14;27",,,3,"","",8
39,"MIP 342","","","13;14",,,4,"","",8
40,"NB 499","","","35;30",,,3,"","",8
41,"ELECTIVE 3","","",,,,3,"","",8
