Curriculum,"Physics, Applied Physics Concentration",,,,,,,,,
Degree Plan,"Physics, Applied Physics Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 160","","",,,,4,"","",1
3,"PH 141","","",,"2",,5,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"CS 155","","",,,,1,"","",2
6,"CS 156","","",,"5",,1,"","",2
7,"CS 157","","",,"6",,1,"","",2
8,"MATH 161","","","2",,,4,"","",2
9,"PH 142","","","3","8",,5,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"CHEM 111","","","2",,,4,"","",3
12,"CHEM 112","","",,"11",,1,"","",3
13,"MATH 261","","","8",,,4,"","",3
14,"PH 245","","","9;8",,,3,"","",3
15,"PH 293","","","9",,,1,"","",3
16,"AUCC 3D","","",,,,3,"","",3
17,"MATH 340","","","13",,,4,"","",4
18,"PH 314","","","9;13",,,4,"","",4
19,"PH 315","","",,"18",,2,"","",4
20,"AUCC 3C","","",,,,3,"","",4
21,"PH 341","","","3;17",,,4,"","",5
22,"PH 353","","","9;13",,,4,"","",5
23,"PH 327","","","9;13;17;18",,,3,"","",5
24,"ELECTIVE 1","","",,,,3,"","",5
25,"PH 351","","","9;17",,,4,"","",6
26,"PH 361","","","9;13",,,3,"","",6
27,"CO 300","","","1",,,3,"","",6
28,"AUCC 3E","","",,,,3,"","",6
29,"ELECTIVE 2","","",,,,3,"","",6
30,"PH 451","","","17;18",,,3,"","",7
31,"SELECTED FIELD COURSE 1","","",,,,3,"","",7
32,"SELECTED FIELD COURSE 2","","",,,,3,"","",7
33,"ELECTIVE 3","","",,,,3,"","",7
34,"ELECTIVE 4","","",,,,3,"","",7
35,"PH 425","","","19;30",,,2,"","",8
36,"PH 492","","","19",,,1,"","",8
37,"SELECTED FIELD COURSE 3","","",,,,3,"","",8
38,"SELECTED FIELD COURSE 4","","",,,,3,"","",8
39,"ELECTIVE 5","","",,,,4,"","",8
40,"ELECTIVE 6","","",,,,3,"","",8
