Curriculum,"Psychology, General Concentration",,,,,,,,,
Degree Plan,"Psychology, General Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"CS 110","","",,,,3,"","",1
3,"MATH 117","","",,,,1,"","",1
4,"PSY 100","","",,,,3,"","",1
5,"PSY 192","","",,,,1,"","",1
6,"AUCC 3D","","",,,,3,"","",1
7,"LIFE 102","","",,,,4,"","",2
8,"MATH 118","","","3",,,1,"","",2
9,"MATH 124","","",,"8",,1,"","",2
10,"PSY 210","","",,,,3,"","",2
11,"PHIL 100","","",,,,3,"","",2
12,"AUCC 3C","","",,,,3,"","",2
13,"CHEM 107","","",,,,4,"","",3
14,"CHEM 108","","",,"13",,1,"","",3
15,"PSY 250","","",,,,3,"","",3
16,"Stat 301","","","3",,,3,"","",3
17,"ELECTIVE 1","","",,,,4,"","",3
18,"PSY 252","","","4",,,3,"","",4
19,"SPCM 200","","",,,,3,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"AUCC 3B","","",,,,3,"","",4
22,"AUCC 3E","","",,,,3,"","",4
23,"CO 300","","","1",,,3,"","",5
24,"PSY 350","","","15",,,3,"","",5
25,"UD PSY ELECTIVE 1","","","4",,,3,"","",5
26,"ELECTIVE 2","","",,,,3,"","",5
27,"ELECTIVE 3","","",,,,3,"","",5
28,"PSY 315","","","4",,,3,"","",6
29,"PSY 317","","","15","28",,2,"","",6
30,"UD PSY ELECTIVE 2","","","4",,,3,"","",6
31,"ELECTIVE 4","","",,,,3,"","",6
32,"ELECTIVE 5","","",,,,4,"","",6
33,"BMS 300","","",,,,4,"","",7
34,"PSY 340","","","15",,,3,"","",7
35,"PSY 341","","",,"34",,1,"","",7
36,"ELECTIVE 6","","",,,,4,"","",7
37,"ELECTIVE 7","","",,,,3,"","",7
38,"PSY 493","","","10;15;18",,,3,"","",8
39,"PSY 452","","","18",,,3,"","",8
40,"PSY 453","","","15","39",,2,"","",8
41,"ELECTIVE 8","","",,,,4,"","",8
42,"ELECTIVE 9","","",,,,3,"","",8
