Curriculum,"Psychology, Mind, Brain, and Behavior Concentration",,,,,,,,,
Degree Plan,"Psychology, Mind, Brain, and Behavior Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"CS 110","","",,,,3,"","",1
3,"MATH 117","","",,,,1,"","",1
4,"PSY 100","","",,,,3,"","",1
5,"PSY 192","","",,,,1,"","",1
6,"AUCC 3D","","",,,,3,"","",1
7,"LIFE 102","","",,,,4,"","",2
8,"MATH 118","","","3",,,1,"","",2
9,"MATH 124","","",,"8",,1,"","",2
10,"PSY 210","","",,,,3,"","",2
11,"PHIL 100","","",,,,3,"","",2
12,"AUCC 3C","","",,,,3,"","",2
13,"CHEM 107","","",,,,4,"","",3
14,"CHEM 108","","",,"13",,1,"","",3
15,"PSY 250","","",,,,3,"","",3
16,"STAT 301","","","3",,,3,"","",3
17,"AUCC 3E","","",,,,3,"","",3
18,"ELECTIVE 1","","",,,,1,"","",3
19,"PSY 210","","","4",,,3,"","",4
20,"PSY 292B","","",,,,1,"","",4
21,"SPCM 200","","",,,,3,"","",4
22,"AUCC 3B","","",,,,3,"","",4
23,"AUCC 3B","","",,,,3,"","",4
24,"ELECTIVE 2","","",,,,2,"","",4
25,"PSY 350","","","15",,,3,"","",5
26,"PSY 352","","",,,,3,"","",5
27,"MATH 125","","","8",,,1,"","",5
28,"MATH 126","","",,"27",,1,"","",5
29,"MATH 141","","","8",,,3,"","",5
30,"ELECTIVE 3","","",,,,4,"","",5
31,"BMS 300","","","7;13",,,4,"","",6
32,"CO 300","","","1",,,3,"","",6
33,"PSY 452","","",,,,3,"","",6
34,"PSY 453","","","15","33",,2,"","",6
35,"ELECTIVE 4","","",,,,4,"","",6
36,"BMS 301","","","7",,,5,"","",7
37,"PSY 454","","",,,,3,"","",7
38,"PSY 455","","","15","37",,2,"","",7
39,"ELECTIVE 5","","",,,,5,"","",7
40,"PSY 493","","","10",,,3,"","",8
41,"PSY 456","","",,,,3,"","",8
42,"PSY 457","","","15","41",,2,"","",8
43,"ELECTIVE 6","","",,,,7,"","",8
