Curriculum,"Sociology, Criminology and Criminal Justice Concentration",,,,,,,,,
Degree Plan,"Sociology, Criminology and Criminal Justice Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"AUCC 3B","","",,,,3,"","",1
3,"AUCC 3A","","",,,,4,"","",1
4,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 1","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"SOC 100","","",,,,3,"","",2
7,"SOC 253","","",,,,3,"","",2
8,"MATHEMATICS","","",,,,3,"","",2
9,"ELECTIVE 2","","",,,,3,"","",2
10,"ELECTIVE 3","","",,,,2,"","",2
11,"AUCC 3B","","",,,,3,"","",3
12,"AUCC 3A","","",,,,3,"","",3
13,"AUCC 3D","","",,,,3,"","",3
14,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 2","","",,,,3,"","",3
15,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 3","","",,,,3,"","",3
16,"ADVANCED WRITING","","","1",,,3,"","",4
17,"AUCC 3E","","",,,,3,"","",4
18,"ELECTIVE 4","","",,,,3,"","",4
19,"ELECTIVE 5","","",,,,3,"","",4
20,"ELECTIVE 6","","",,,,3,"","",4
21,"SOC 354","","","7;6",,,3,"","",5
22,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 4","","",,,,3,"","",5
23,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 5","","",,,,3,"","",5
24,"ELECTIVE 7","","",,,,3,"","",5
25,"ELECTIVE 8","","",,,,3,"","",5
26,"SOC 210","","","8",,,3,"","",6
27,"SOC 301","","","6",,,3,"","",6
28,"SOC 352","","","6",,,3,"","",6
29,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 6","","",,,,3,"","",6
30,"SOCIAL AND BEHAVIORAL SCIENCES COURSE 7","","",,,,3,"","",6
31,"POLS 413","","",,,,3,"","",7
32,"SOC 311","","","6",,,3,"","",7
33,"SOC 313","","","26",,,1,"","",7
34,"ELECTIVE 9","","",,,,4,"","",7
35,"ELECTIVE 10","","",,,,4,"","",7
36,"SOC 358","","","7;6",,,3,"","",8
37,"SOC 403","","","26;32;27;33",,,3,"","",8
38,"ELECTIVE 11","","",,,,5,"","",8
39,"ELECTIVE 12","","",,,,4,"","",8
