Curriculum,"Statistics, General Statistics Concentration",,,,,,,,,
Degree Plan,"Statistics, General Statistics Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 160","","",,,,4,"","",1
3,"STAT 158","","",,,,1,"","",1
4,"AUCC 3E","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"MATH 161","","","2",,,4,"","",2
7,"STAT 315","","","2",,,3,"","",2
8,"AUCC 3D","","",,,,3,"","",2
9,"ELECTIVE 2","","",,,,3,"","",2
10,"ELECTIVE 3","","",,,,3,"","",2
11,"MATH 261","","","6",,,4,"","",3
12,"STAT 341","","","7;3",,,3,"","",3
13,"CS 150","","",,,,3,"","",3
14,"AUCC 3A","","",,,,3,"","",3
15,"JTC 300","","","1",,,3,"","",4
16,"MATH 235","","","6",,,2,"","",4
17,"MATH 369","","","6",,,3,"","",4
18,"STAT 342","","","12",,,3,"","",4
19,"AUCC 3A","","",,,,4,"","",4
20,"STAT 420","","","11",,,3,"","",5
21,"MATH 301","","","6",,,3,"","",5
22,"STAT 305","","","7",,,3,"","",5
23,"AUCC 3B","","",,,,3,"","",5
24,"AUCC 3C","","",,,,3,"","",5
25,"STAT 358","","","7",,,2,"","",6
26,"STAT 430","","","20",,,3,"","",6
27,"STAT 400","","","20",,,3,"","",6
28,"AUCC 3B","","",,,,3,"","",6
29,"UD CS/MATH/STAT ELECTIVE 1","","",,,,3,"","",6
30,"ELECTIVE 4","","",,,,3,"","",7
31,"ELECTIVE 5","","",,,,3,"","",7
32,"ELECTIVE 6","","",,,,3,"","",7
33,"ELECTIVE 7","","",,,,3,"","",7
34,"ELECTIVE 8","","",,,,3,"","",7
35,"STAT 472","","",,,,3,"","",8
36,"UD CS/MATH/STAT ELECTIVE 2","","",,,,3,"","",8
37,"ELECTIVE 9","","",,,,3,"","",8
38,"ELECTIVE 10","","",,,,3,"","",8
39,"ELECTIVE 11","","",,,,3,"","",8
40,"ELECTIVE 12","","",,,,3,"","",8
