Curriculum,"Statistics, Mathematical Statistics Concentration",,,,,,,,,
Degree Plan,"Statistics, Mathematical Statistics Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 160","","",,,,4,"","",1
3,"STAT 158","","",,,,1,"","",1
4,"AUCC 3E","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"MATH 161","","","2",,,4,"","",2
7,"STAT 315","","","2",,,3,"","",2
8,"AUCC 3B","","",,,,3,"","",2
9,"AUCC 3D","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"CS 163","","",,,,4,"","",3
12,"MATH 261","","","6",,,4,"","",3
13,"STAT 341","","","7;3",,,3,"","",3
14,"AUCC 3A","","",,,,3,"","",3
15,"JTC 300","","","1",,,3,"","",4
16,"MATH 235","","","6",,,2,"","",4
17,"MATH 369","","","6",,,3,"","",4
18,"STAT 342","","","13",,,3,"","",4
19,"AUCC 3A","","",,,,4,"","",4
20,"MATH 317","","","16;6",,,3,"","",5
21,"STAT 420","","","12",,,3,"","",5
22,"STAT 400","","","11",,,3,"","",5
23,"AUCC 3B","","",,,,3,"","",5
24,"ELECTIVE 3","","",,,,3,"","",5
25,"MATH 345","","","17;12",,,4,"","",6
26,"STAT 305","","","7",,,3,"","",6
27,"STAT 430","","","21",,,3,"","",6
28,"AUCC 3C","","",,,,3,"","",6
29,"ELECTIVE 4","","",,,,3,"","",6
30,"MATH 417","","","17;20",,,3,"","",7
31,"STAT 460","","","13;17",,,3,"","",7
32,"STAT 472","","","21",,,3,"","",7
33,"ELECTIVE 5","","",,,,3,"","",7
34,"ELECTIVE 6","","",,,,3,"","",7
35,"MATH 430","","","25",,,3,"","",8
36,"MATH 450","","","11;12",,,3,"","",8
37,"STAT 421","","","17;21",,,3,"","",8
38,"ELECTIVE 7","","",,,,3,"","",8
39,"ELECTIVE 8","","",,,,3,"","",8
