Curriculum,"Theatre, General Theatre Concentration",,,,,,,,,
Degree Plan,"Theatre, General Theatre Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ART 100","","",,,,3,"","",1
2,"TH 150","","",,,,3,"","",1
3,"TH 161","","",,,,3,"","",1
4,"TH 186","","",,,,1,"","",1
5,"TH 192","","",,,,3,"","",1
6,"ELECTIVE 1","","",,,,3,"","",1
7,"D 110","","",,,,3,"","",2
8,"CO 150","","",,,,3,"","",2
9,"TH 160","","",,,,3,"","",2
10,"MATHEMATICS","","",,,,3,"","",2
11,"AUCC 3A","","",,,,3,"","",2
12,"TH 151","","","2",,,3,"","",3
13,"TH 241","","","2",,,3,"","",3
14,"TH 242","","",,"13",,3,"","",3
15,"AUCC 3E","","",,,,3,"","",3
16,"AUCC 3C","","",,,,3,"","",3
17,"TH 255","","","13;12",,,3,"","",4
18,"TH 260","","","9;3",,,3,"","",4
19,"TH 262","","","9;2",,,3,"","",4
20,"TH 286","","","4",,,1,"","",4
21,"ADVANCED WRITING","","","8",,,3,"","",4
22,"AUCC 3A","","",,,,4,"","",4
23,"TH 243","","","14",,,3,"","",5
24,"TH 355","","","17",,,3,"","",5
25,"TH 400","","",,,,1,"","",5
26,"AUCC 3D","","",,,,3,"","",5
27,"UD ELECTIVE 1","","",,,,3,"","",5
28,"UD ELECTIVE 2","","",,,,3,"","",5
29,"TH 251","","","12",,,3,"","",6
30,"TH 386","","","20",,,1,"","",6
31,"TH 400","","",,,,1,"","",6
32,"UD ELECTIVE 3","","",,,,3,"","",6
33,"ELECTIVE 2","","",,,,3,"","",6
34,"ELECTIVE 3","","",,,,3,"","",6
35,"TH 450","","",,,,3,"","",7
36,"TH 471","","",,,,3,"","",7
37,"UD ELECTIVE 4","","",,,,5,"","",7
38,"ELECTIVE 4","","",,,,3,"","",7
39,"TH 400","","",,,,1,"","",8
40,"TH 401","","",,,,3,"","",8
41,"UD ELECTIVE 5","","",,,,3,"","",8
42,"UD ELECTIVE 6","","",,,,3,"","",8
43,"UD ELECTIVE 7","","",,,,3,"","",8
