Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 121G,1,MATH 120,,3,
ANSC 100,1,,,3,
ANSC 100 L,1,,ANSC 100,1,
ACES 111,1,,,1,
ANSC 1160 or 1180 or RGSC 2110,1,,,3,
AXED 201G,2,,,3,
CHEM 111G,2,MATH 120,,4,
CHEM 101,2,,CHEM 111G,1,
ANSC 220,2,,,1,
Area V,2,,,3,
Area VI,2,,,3,
ENGL 218G,3,ENGL 111G,,3,
BIOL 111G+L,3,,,4,
CHEM 112G,3,CHEM 111G,,4,
CHEM 102,3,,CHEM 112G,1,
ANSC 304,3,CHEM 111G,,3,
A ST 311,4,MATH 120,,3,
BIOL 211G+L,4,,"MATH 120, CHEM 111G",3,
Area IV (ECON),4,,,3,
VWW,4,,,3,
ANSC 2310 or 301 or 390 or 391 or 392,4,,,3,
ANSC 370,5,"CHEM 111G, BIOL 111G+L",,4,
ANSC 303 or 308,5,,,4,
CHEM 313,5,CHEM 112G,,3,
CHEM 303,5,,CHEM 313,1,
ANSC 305,5,"BIOL 111G+L, BIOL 211G+L, CHEM 111G",,3,
ANSC 421,6,ANSC 370,,4,
CHEM 314,6,CHEM 313,,3,
CHEM 315,6,CHEM 313,CHEM 314,2,
CHEM 304,6,,CHEM 314,1,
PHYS 211G+L,6,,,4,
Elective,6,,,1,
ANSC 422,7,CHEM 313,,3,
ANSC 423,7,ANSC 305,,3,
ANSC 402,7,,,1,
ANSC 462 or 480 or 484 or TOX 361 or 461,7,ANSC 370,,3,
Elective,7,,,3,
Elective,7,,,2,
BCHE 395,8,CHEM 314,,3,
ANSC 424 or 425 or 426 or 427 or 428 or 429 or 468,8,ANSC 304,,3,
ANSC 424 or 425 or 426 or 427 or 428 or 429 or 468,8,ANSC 304,,3,
VWW,8,,,3,
Elective,8,,,3,
