Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
CHEM 115,1,MATH 121G,,4,
BCHE 140,1,,,1,
Area IV,1,,,3,
MATH 192G,2,MATH 191G,,4,
BIOL 211G+L,2,,"MATH 120, CHEM 115",4,
CHEM 116,2,CHEM 115,,4,
Area V,2,,,3,
ENGL 218G,3,ENGL 111G,,3,
BIOL 305,3,"BIOL 211G+L, BCHE 140, CHEM 111G, MATH 121G",,3,
CHEM 313,3,CHEM 116,,3,
PHYS 211G+L,3,,,4,
Area VI,3,,,3,
COMM 265G,4,,,3,
CHEM 314,4,CHEM 313,,3,
CHEM 315,4,CHEM 313,CHEM 314,2,
PHYS 212G+L,4,PHYS 211G+L,,4,
Elective,4,,,3,
A ST 311,5,MATH 120,,3,
BIOL 377,5,"BIOL 211G+L, MATH 121G",,3,
BCHE 395,5,CHEM 314,,3,
CHEM 371,5,CHEM 116,,4,
Elective,5,,,3,
BCHE 396,6,BCHE 395,,3,
BIOL 311,6,"BIOL 211G+L, MATH 121G",,3,
BIOL 311L,6,"BIOL 211G+L, MATH 121G",BIOL 311,2,
VWW,6,,,3,
Elective,6,,,3,
BCHE 440,7,BCHE 395,,1,
BCHE 424,7,BCHE 395,BCHE 396,3,
CHEM 431,7,"CHEM 116, MATH 192G, PHYS 212G+L",,3,
CHEM 356 or CHEM 456 or BCHE 432,7,"CHEM 116, CHEM 313",,3,
Elective,7,,,3,
Elective,7,,,3,
VWW,8,,,3,
CHEM/BCHE Course Pairing,8,,,3,
Elective,8,,,3,
Elective,8,,,3,
