Name,Term,Prerequisites,Corequisites,Credits,Passrate
E E 100,1,,MATH 190G,4,
ENGR 100G,1,,MATH 121G,3,
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
CHEM 111G,2,MATH 120,,4,
E E 112,2,,E E 100,4,
MATH 192G,2,MATH 191G,,4,
GE or VWW,2,,,3,
E E 212,3,"E E 100, MATH 190G",E E 112,4,
E E 200,3,"E E 112, MATH 192G",,4,
PHYS 215G+L,3,MATH 191G,,4,
GE or VWW,3,,,3,
MATH 392,4,MATH 192G,,3,
E E 230,4,"E E 100, MATH 192G",PHYS 216G+L,4,
E E 240,4,"E E 112, MATH 192G",,3,
PHYS 216G+L,4,"PHYS 215G+L, MATH 192G",,4,
GE or VWW,4,,,3,
E E 300,5,"E E 112, E E 212, E E 230",,2,
E E 320,5,"E E 200, E E 230",MATH 392,3,
E E 333,5,E E 230,,3,
E E 340,5,"E E 230, E E 240, PHYS 216G+L",,4,
GE or VWW,5,,,3,
E E 317,6,"E E 230, CHEM 111G",,4,
E E 325,6,"E E 320, MATH 192",,4,
E E Concentration Course,6,,,3,
GE or VWW,6,,,3,
E E Concentration Course,7,,,3,
E E Concentration Course,7,,,3,
E E 402,7,"E E 300, E E 317, E E 325, E E 333, E E 340",,3,
GE or VWW,7,,,3,
GE or VWW,7,,,3,
E E 404,8,E E 402,,3,
Object-Oriented Programming Course,8,,,3,
STEM Elective 4,8,,,3,
STEM Elective 4,8,,,3,
STEM Elective 4,8,,,3,
