Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 210G,1,,,3,
FYEX 1112,1,,,3,
Area IV,1,,,3,
Area VI,1,,,3,
COMM 265G,2,,,3,
2000-level ENGL requirement,2,,,3,
Area III,2,,,4,
Area V,2,,,3,
Elective,2,,,3,
2nd Writing Course (Area I),3,ENGL 111G,,3,
Area III or Area IV,3,,,4,
2nd Language 1,3,,,4,
2000-level ENGL requirement,3,,,3,
Elective,3,,,3,
General Education Elective Course 2,4,,,3,
2nd Language 2,4,2nd Language 1,,4,
2000-level ENGL requirement,4,,,3,
2000-level ENGL requirement,4,,,3,
Elective,4,,,3,
ENGL 310,5,,,3,
ENGL Course (2996 to 399 level),5,,,3,
VWW,5,,,3,
UD Elective,5,,,3,
Elective,5,,,3,
ENGL Course (2996 - 399 level),6,,,3,
VWW,6,,,3,
"ENGL 301, 302, or 303",6,,,3,
UD Elective,6,,,3,
Elective,6,,,3,
ENGL 405 or 407,7,,,3,
UD ENGL (400-499 level),7,,,3,
ENGL Am Lit,7,,,3,
UD Elective,7,,,3,
UD Elective,7,,,3,
UD ENGL (400-499 level),8,,,3,
UD ENGL (400-499 level),8,,,3,
ENGL 408 or 409,8,,,3,
UD Elective,8,,,3,
Elective,8,,,1,
