Curriculum,A Real EE Program,,,,,,,,
Institution,ACME Univ.,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,26.0101,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
3824069494,The US to 1877,HIST,1377,,,,3,ACME Univ.,
1324171406,First Year Writing I,ENGL,1303,,,,3,ACME Univ.,
1764441140,Intro to Engr.,ENGI,1100,,4175014649,,1,ACME Univ.,
4175014649,Calculus I,MATH,1431,,,,4,ACME Univ.,
1351802580,Fund. of Chemistry,CHEM,1331,,,,3,ACME Univ.,
2195546016,Fund. of Chemistry Lab,CHEM,1111,,1351802580,,1,ACME Univ.,
2731496025,US Since 1877,HIST,1378,,,,3,ACME Univ.,
3195103903,First Year Writing II,ENGL,1304,1324171406,,,3,ACME Univ.,
1051497550,Computing & Prob. Solving,ENGI,1331,1764441140;4175014649,,,3,ACME Univ.,
1177372781,Calculus II,MATH,1432,4175014649,,,4,ACME Univ.,
2834873484,University Physics I,PHYS,1321,,1177372781,,3,ACME Univ.,
3178954113,Physics Lab I,PHYS,1121,,2834873484,,1,ACME Univ.,
1541543378,US and TX Constitutions & Politics,POLS,1336,,,,3,ACME Univ.,
947037850,Engineering Math,MATH,3321,1177372781,,,3,ACME Univ.,
2138760932,Circuit Analysis I,ECE,2201,1051497550,3059602497;3718777895;2258215799;947037850,,3,ACME Univ.,
2258215799,Calculus III,MATH,2433,1177372781,,,3,ACME Univ.,
3718777895,University Physics II,PHYS,1322,2834873484,2258215799,,3,ACME Univ.,
3059602497,Physics Lab II,PHYS,1122,,3718777895,,1,ACME Univ.,
1770099342,Technical Communication,ENGI,2304,3195103903;2138760932,,,3,ACME Univ.,
649106202,Programming Apps in ECE,ECE,3331,947037850;2138760932,,,3,ACME Univ.,
1083857781,Circuits Lab,ECE,2100,3059602497,3887805990,,1,ACME Univ.,
3887805990,Circuit Analysis II,ECE,2202,2138760932,,,3,ACME Univ.,
2791403937,Signals & Systems Analysis,ECE,3337,,3887805990,,3,ACME Univ.,
4184346648,Microprocessors,ECE,3436,,1083857781;649106202,,3,ACME Univ.,
848294223,Creative Arts Core,,,,,,3,ACME Univ.,
1966522372,Electronics Lab,ECE,3155,1770099342;1083857781,,,1,ACME Univ.,
4165958389,Electronics,ECE,3355,2791403937,,1966522372,3,ACME Univ.,
1056053313,Concentration Elective 1,,,,,,3,ACME Univ.,
2252871414,Applied EM Waves,ECE,3317,2791403937,,,3,ACME Univ.,
2051928090,ECE Elective 1,,,,,,3,ACME Univ.,
951874139,"US Gov: Congress, President and Courts",POLS,1337,,,,3,ACME Univ.,
2888554139,Engineering Statistics,INDE,2333,1051497550;1177372781,,,3,ACME Univ.,
26700799,Elective Lab 1,,,,,,1,ACME Univ.,
1745860227,Concentration Elective 2,,,,,,3,ACME Univ.,
3368026167,Numerical Methods,ECE,3340,649106202,,,3,ACME Univ.,
672829327,ECE Elective 2,,,,,,3,ACME Univ.,
3224555476,Microeconomic Principles,ECON,2304,,,,3,ACME Univ.,
1337097032,ECE Design I,ECE,4335,4184346648;2888554139;1966522372;4165958389;2252871414;3368026167,3224555476,,3,ACME Univ.,
1296179090,Elective Lab 2,,,,,,1,ACME Univ.,
1105094343,Concentration Elective 3,,,,,,3,ACME Univ.,
1819261218,Concentration Elective 4,,,,,,3,ACME Univ.,
2529896330,Technical Elective,,,,,,3,ACME Univ.,
1626752824,"Lang., Phil. & Culture Core",,,,,,3,ACME Univ.,
1158404973,ECE Design II,ECE,4336,1337097032,,,3,ACME Univ.,
3091492697,Elective Lab 3,,,,,,1,ACME Univ.,
2070124031,Concentration Elective 5,,,,,,3,ACME Univ.,
1716266479,Concentration Elective 6,,,,,,3,ACME Univ.,
2584207151,Concentration Elective 7,,,,,,3,ACME Univ.,
2450156574,Elective Lab 4,,,,,,1,ACME Univ.,
