Curriculum,BSCE-Civil Engineering,,,,,,,,,,,
Institution,USF,,,,,,,,,,,
Degree Type,BSCE,,,,,,,,,,,
System Type,semester,,,,,,,,,,,
CIP,14.0801,,,,,,,,,,,
Courses,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Prerequisites (Text),Corequisites,Corequisites (Text),CoPrerequisites,CoPrerequisites (Text),Credit Hours,Institution,Canonical Name
24950,Engineering Calculus I,MAC,2281,25856;27685;24946,C (2.0) or better in MAC 1114 and C (2.0) or better in MAC 1140 or C (2.0) or better in MAC 1147 or 670 or better SAT Math score or 29 or better ACT Math score or 90 or better College-Level Math CPT score,,,,,4,,
24953,Calculus I,MAC,2311,25856;27685;24946,C (2.0) or better in MAC 1114 and C (2.0) or better in MAC 1140 or C (2.0) or better in MAC 1147 or 670 or better SAT Math score or 29 or better ACT Math score or 90 or better College-Level Math CPT score,,,,,4,,
25478,General Chemistry I ,CHM,2045,25855;26602,570 SAT Quantitative score or completion of MAC 1105 College Algebra with a C or better AND one year of high school chemistry or completion of CHM 2023 with a grade of C or better.,,,,,3,,
26652,General Chemistry for Engineers,CHS,2440,25855;26602,570 SAT Quantitative score or completion of MAC 1105 College Algebra with a grade of C or better AND one year of high school chemistry or completion of CHM 2023 with a grade of C or better.,,,,,3,,
23525,Composition I,ENC,1101,,,,,,,3,,
25479,General Chemistry I Laboratory,CHM,2045L,,,,,25478,CHM 2045.,1,,
27559,General Chemistry for Engineers Lab,CHS,2440L,,,26652,CHS 2440.,,,1,,
23287,Foundations of Engineering Lab,EGN,3000L,,,,,,,3,,
28172,Foundations of Engineering,EGN,3000,,,,,,,0,,
24951,Engineering Calculus II,MAC,2282,24950,C (2.0) or better in MAC 2281.,,,,,4,,
24954,Calculus II,MAC,2312,24953,C (2.0) or better in MAC 2311,,,,,4,,
23526,Composition II,ENC,1102,23525,ENC 1101 (or the equivalent i.e. passing the CLEP exam).,,,,,3,,
26014,General Physics I - Calculus Based,PHY,2048,24950;24953,MAC 2281 or MAC 2311,,,,,3,,
26653,Introduction to Design Graphics,EGN,1113,,,,,,,3,,
26015,General Physics I Laboratory,PHY,2048L,24950;24953,MAC 2281 or MAC 2311.,26014,PHY 2048,,,1,,
4,State Social Science Gen Ed,SGES,,,,,,,,3,,
24952,Engineering Calculus III,MAC,2283,24951,C (2.0) or better in MAC 2282,,,,,4,,
24955,Calculus III,MAC,2313,24954,C (2.0) or better in MAC 2312,,,,,4,,
26016,General Physics II - Calculus Based,PHY,2049,24951;24954;26014;26015,MAC 2282 or MAC 2312 PHY 2048 PHY 2048L,,,,,3,,
