Curriculum,BSEE-Electrical Engineering,,,,,,,,,
Degree Plan,EEL-CALC-NOT CHM ready,,,,,,,,,
Institution,USF,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.1001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequistes,Credit Hours,Institution,Canonical Name,Term
26602,Chemistry for Today,CHM,2023,,,,3,,,1
24950,Engineering Calculus I,MAC,2281,,,,4,,,2
25478,General Chemistry I/Chem for Engineers ,CHM/CHS,2045/2440,26602,,,3,,,2
23525,Composition I,ENC,1101,,,,3,,,2
25479,General Chemistry I/Chem for Engineers Laboratory,CHM/CHS,2045/2440L,,,25478,1,,,2
23287,Foundations of Engineering Lab,EGN,3000L,,,,3,,,2
28172,Foundations of Engineering,EGN,3000,,,,0,,,2
24951,Engineering Calculus II,MAC,2282,24950,,,4,,,3
23526,Composition II,ENC,1102,23525,,,3,,,3
26014,General Physics I - Calculus Based,PHY,2048,24950,,,3,,,3
26015,General Physics I Laboratory,PHY,2048L,24950,,26014,1,,,3
23747,Fundamentals of Digital Circuits,EEL,3705,,,,3,,,3
24952,Engineering Calculus III,MAC,2283,24951,,,4,,,4
25357,Engineering Analysis,EGN,3420,24951,,,4,,,4
27967,Electrical Engineering Science I - Electronic Materials,EEE,3394,25478;26014,24952,,3,,,4
26896,Fundamentals of Digital Circuits Laboratory,EEL,3705L,23747,,,1,,,4
4,State Humanities Gen Ed,SGEH,,,,,3,,,4
25981,Introduction to Electrical Systems I,EGN,3373,,24959,,3,,,5
24959,Differential Equations,MAP,2302,24952,,,3,,,5
29920,Electrical Engineering Science II - Electromagnetics/Physics II + Lab,EEL/PHY,3472C/2049 + 2049L,25357;27967;24951;26014;26015,,,4,,,5
24974,Programming with C,EEL,2161,,,,3,,,5
6,Professional Formation of Engineers I,EGS,2070,,,,1,,,5
27018,Introduction to Electrical Systems II,EGN,3374,25981,,24959,3,,,6
25983,Probability and Statistics for Engineers,EGN,3443,24951,,,3,,,6
24859,Engineering Economics with Social and Global Implications,EGN,3615,,,,3,,,6
26911,Laboratory I,EEL,3115L,25981,,,1,,,7
9,EE Core Technical Elective,,,,,,3,,,7
10,EE Core Technical Elective,,,,,,3,,,7
25885,Signals and Systems,EEL,4102,25357;27018,,,3,,,7
29988,Computer Tool Lab,EEL,3163C,24974,,,1,,,7
27719,Communication for Engineers,ENC,3246,,,,3,,,7
11,Professional Formation of Engineers II,EGS,3071,6,,,1,,,7
12,EE Core Technical Elective,,,,,,3,,,8
13,EE Core Technical Elective,,,,,,3,,,8
14,EE Track Elective,,,,,,3,,,8
15,EE Track Elective,,,,,,3,,,8
16,EE Track Elective Lab,,,,,,1,,,8
17,Professional Formation of Engineers III,EGS,3072,11,,,1,,,8
18,Upper-Level Department Elective Lab,,,,,,1,,,8
20,Internship/Co-op Participation,,,,,,0,,,9
26904,EE Design 1,EEL,4906,,,,3,,,10
21,Upper-Level Department Elective,,,,,,3,,,10
22,EE Track Elective,,,,,,3,,,10
23,EE Track Elective,,,,,,3,,,10
24,EE Track Elective Lab,,,,,,1,,,10
25,Upper-Level Department Elective,,,,,,3,,,10
27855,EE Design 2,EEL,4914,26904,,,3,,,11
27,Upper-Level Department Elective,,,,,,3,,,11
28,Upper-Level Department Elective,,,,,,3,,,11
29,General Elective,,,,,,3,,,11
30,General Elective,,,,,,1,,,11
31,State Social Science Gen Ed,SGES,,,,,3,,,11
