Curriculum,BSIT-Information Technology,,,,,,,,,
Degree Plan,Information Technology,,,,,,,,,
Institution,USF,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Databases for Information Technology,CGS,1540,,,,3,,,1
2,Precalculus Algebra and Trigonometry,MAC,1147,,,,4,,,1
3,Foundations of Engineering,EGN,3000,,,,0,,,1
4,Composition I,ENC,1101,,,,3,,,1
5,Foundations of Engineering Lab,EGN,3000L,,,,3,,,1
6,Programming Fundamentals for Information Technology,COP,2512,,,,3,,,2
7,Discrete Mathematics,MAD,2104,,,,3,,,2
8,Composition II,ENC,1102,4,,,3,,,2
9,Conceptual Physics,PHY,2020,,,,3,,,2
10,State Gen Ed  Humanities,SGEH,,,,,3,,,2
11,Object Oriented Programming for Information Technology,COP,2513,6,,,3,,,3
12,IT Concepts,CGS,3303,1,,,3,,,3
13,Macroeconomics,ECO,2013,,,,3,,,3
14,Introductory Statistics I,STA,2023,,,,3,,,3
15,Foundations of Cybersecurity,CIS,3213,6,,,3,,,4
16,Introduction to Psychology,PSY,2012,,,,3,,,4
17,International Political Cultures,INR,3033,,,,3,,,4
18,EGE  Human & Cultural Diversity,TGED,,,,,3,,,4
19,Advanced Program Design for Information Technology,COP,3515,7,,,3,,,5
20,EGE Information & Data Literacy,TGEI,,,,,3,,,5
21,General Elective,,,,,,3,,,5
22,Data Structures and Algorithms for Information Technology,COP,4538,19,,,3,,,6
23,Human Computer Interfaces for Information Technology,CEN,3722,19,,,3,,,6
24,System Integration and Architecture for IT,CIS,3433,15;11;7,,,3,,,6
25,General Elective,,,,,,3,,,6
35,Natural Sci Elective,,,,,,3,,,6
26,Web Systems for IT,CGS,3853,23,,,3,,,7
27,Computer Information Networks for Information Technology,CNT,4104,23,,28,3,,,7
28,Computer Information Networks Lab for Information Technology,CNT,4104L,23,,,1,,,7
29,Communication for Engineers,ENC,3246,,,,3,,,7
30,IT Departmental Elective,,,,,,3,,,7
31,IT Departmental Elective,,,,,,3,,,7
32,Cloud Computing,CIS,4083,19,,,3,,,8
33,IT Departmental Elective,,,,,,3,,,8
34,IT Departmental Elective,,,,,,3,,,8
36,Database Systems for Information Technology,COP,4703,22,,,3,,,8
40,System Administration and Maintenance for Information Technology,CNT,4603,27,,,3,,,8
37,Senior Project in Information Technology,CIS,4935,,,,4,,,9
38,IT Departmental Elective,,,,,,3,,,9
39,IT Departmental Elective,,,,,,3,,,9
41,Ethics for Information Technology,CIS,4253,,,,3,,,9
