Curriculum,BSIT-Information Technology,,,,,,,,,
Degree Plan,Information Technology,,,,,,,,,
Institution,USF,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
42,Intermediate Algebra,MAT,1033,,,,3,,,1
43,College Algebra,MAC,1105,42,,,3,,,2
1,Introduction to Databases for Information Technology,CGS,1540,,,,3,,,3
2,Precalculus Algebra and Trigonometry,MAC,1147,43,,,4,,,3
3,Foundations of Engineering,EGN,3000,,,,0,,,3
4,Composition I,ENC,1101,,,,3,,,3
5,Foundations of Engineering Lab,EGN,3000L,,,,3,,,3
6,Programming Fundamentals for Information Technology,COP,2512,,,,3,,,4
7,Discrete Mathematics,MAD,2104,,,,3,,,4
8,Composition II,ENC,1102,4,,,3,,,4
9,Conceptual Physics,PHY,2020,,,,3,,,4
10,State Gen Ed  Humanities,SGEH,,,,,3,,,4
11,Object Oriented Programming for Information Technology,COP,2513,6,,,3,,,5
12,IT Concepts,CGS,3303,1,,,3,,,5
13,Macroeconomics,ECO,2013,,,,3,,,5
14,Introductory Statistics I,STA,2023,,,,3,,,5
15,Foundations of Cybersecurity,CIS,3213,6,,,3,,,6
16,Introduction to Psychology,PSY,2012,,,,3,,,6
17,International Political Cultures,INR,3033,,,,3,,,6
18,EGE  Human & Cultural Diversity,TGED,,,,,3,,,6
19,Advanced Program Design for Information Technology,COP,3515,7,,,3,,,7
20,EGE Information & Data Literacy,TGEI,,,,,3,,,7
21,General Elective,,,,,,3,,,7
22,Data Structures and Algorithms for Information Technology,COP,4538,19,,,3,,,8
23,Human Computer Interfaces for Information Technology,CEN,3722,19,,,3,,,8
24,System Integration and Architecture for IT,CIS,3433,15;11;7,,,3,,,8
25,General Elective,,,,,,3,,,8
35,Natural Sci Electibe,,,,,,3,,,8
26,Web Systems for IT,CGS,3853,23,,,3,,,9
27,Computer Information Networks for Information Technology,CNT,4104,23,,28,3,,,9
28,Computer Information Networks Lab for Information Technology,CNT,4104L,23,,,1,,,9
29,Communication for Engineers,ENC,3246,,,,3,,,9
30,IT Departmental Elective,,,,,,3,,,9
31,IT Departmental Elective,,,,,,3,,,9
32,Cloud Computing,CIS,4083,19,,,3,,,10
33,IT Departmental Elective,,,,,,3,,,10
34,IT Departmental Elective,,,,,,3,,,10
36,Database Systems for Information Technology,COP,4703,22,,,3,,,10
40,System Administration and Maintenance for Information Technology,CNT,4603,27,,,3,,,10
37,Senior Project in Information Technology,CIS,4935,,,,4,,,11
38,IT Departmental Elective,,,,,,3,,,11
39,IT Departmental Elective,,,,,,3,,,11
41,Ethics for Information Technology,CIS,4253,,,,3,,,11
