Curriculum,Psychology,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,Oklahoma State,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,A&S 1111,,,,,,1,,,1
2,ENGL 1113,,,,,,3,,,1
3,MATH 1483,,,,,,3,,,1
4,Humanities,,,,,,3,,,1
5,PSYC 1113,,,,,,3,,,1
6,POLS 1113,,,,,,3,,,1
7,ENGL 1213,,,2,,,3,,,2
8,HIST 1103,,,,,,3,,,2
9,BIOL 1114,,,,,,4,,,2
10,2000-level Psychology,,,,,,3,,,2
11,PSYC 1111,,,,,,1,,,2
12,PSYC 3214,,,3;5,,,4,,,3
13,2000-level Psychology,,,,,,3,,,3
14,Natural & Mathematical Sciences,,,,,,3,,,3
15,Additional General Education,,,,,,3,,,3
16,Electives,,,,,,3,,,3
17,PSYC 3914,,,5;12,,,4,,,4
18,2000-level Psychology,,,,,,3,,,4
19,Natural Sciences (not PSYC),,,,,,3,,,4
20,Additional General Education,,,,,,3,,,4
21,Arts & Humanities,,,,,,3,,,4
22,Upper Division Psychology,,,,,,3,,,5
23,PSYC 3990,,,,,,3,,,5
24,Upper Division Related General Education,,,,,,3,,,5
25,Additional General Education,,,,,,3,,,5
26,Electives,,,,,,3,,,5
27,Natural & Mathematical Sciences,,,,,,3,,,6
28,Upper Division Humanities and International,,,,,,3,,,6
29,Upper Division Psychology,,,,,,3,,,6
30,Natural & Mathematical Sciences,,,,,,3,,,6
31,Upper Division Related,,,,,,3,,,6
32,Upper Division Psychology and Diversity,,,,,,3,,,7
33,Upper Division Related,,,,,,3,,,7
34,Upper Division Related,,,,,,3,,,7
35,Electives,,,,,,3,,,7
36,Electives,,,,,,3,,,7
37,Natural & Mathematical Sciences,,,,,,3,,,8
38,Natural & Mathematical Sciences,,,,,,3,,,8
39,Natural & Mathematical Sciences,,,,,,3,,,8
40,Electives,,,,,,3,,,8
41,Electives,,,,,,1,,,8
