Curriculum,Music Education,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,University of Nevada-Reno,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENG 101,,,,,,3,,,1
2,Mathematics Course,,,,,,3,,,1
3,MUS 100,,,,,,0,,,1
4,MUSA Lower Level,,,,,,2,,,1
5,MUS 109,,,,,,1,,,1
6,MUS 105,,,,,,2,,,1
7,MUS 203,,,,,,3,,,1
8,MUS 211,,,,,,1,,,1
9,MUSE Lower Level,,,,,,1,,,1
10,ENG 102,,,1,,,3,,,2
11,Social Sciences Course,,,,,,3,,,2
12,MUS 100,,,,,,0,,,2
13,MUSA Lower Level,,,,,,2,,,2
14,MUS 110,,,,,,1,,,2
15,MUS 142,,,,,,2,,,2
16,MUS 204,,,,,,3,,,2
17,MUS 212,,,,,,1,,,2
18,MUSE Lower Level,,,,,,1,,,2
19,CH 212,,,10,,,3,,,3
20,EDU 202,,,1,,,3,,,3
21,MUS 100,,,,,,0,,,3
22,MUS 105,,,,,,2,,,3
23,MUS 209,,,14,,,1,,,3
24,MUS 301,,,16,,,3,,,3
25,MUS 311,,,17,,,1,,,3
26,MUSA Lower Level,,,,,,2,,,3
27,MUSE Lower Level,,,,,,1,,,3
28,CH 203,,,10,,,3,,,4
29,Natural Sciences Course,,,,,,3,,,4
30,COM 113,,,,,,3,,,4
31,MUS 100,,,,,,0,,,4
32,MUSA Lower Level,,,,,,2,,,4
33,MUS 210,,,23,,,1,,,4
34,MUS 300,,,,35;36,,0,,,4
35,MUS 302,,,24,,,3,,,4
36,MUS 312,,,25,,,1,,,4
37,MUSE Lower Level,,,,,,1,,,4
38,Natural Sciences Course,,,,,,3,,,5
39,MUS 100,,,,,,0,,,5
40,MUSA Upper Level,,,,,,2,,,5
41,MUS 362,,,34,,,2,,,5
42,MUS 369,,,,,,2,,,5
43,MUS 381,,,34,42,,3,,,5
44,MUS 380,,,,,,2,,,5
45,MUSE Upper Level,,,,,,1,,,5
46,EDU 210,,,,,,3,,,6
47,EPY 220B,,,,,,3,,,6
48,MUS 100,,,,,,0,,,6
49,MUSA Upper Level,,,,,,2,,,6
50,MUS 342,,,16,,,3,,,6
51,MUS 370,,,,,,2,,,6
52,DAN 253,,,,,,2,,,6
53,MUSE Upper Level,,,,,,1,,,6
54,MUS 100,,,,,,0,,,7
55,MUSA Upper Level,,,,,,2,,,7
56,MUS 341,,,16,,,3,,,7
57,MUS 384,,,16,,,3,,,7
58,MUS 386,,,34,,,2,,,7
59,MUS 416,,,34,,,3,,,7
60,MUS 431,,,10;50;19,,,3,,,7
61,MUSE Upper Level,,,,,,1,,,7
62,MUS 100,,,,,,0,,,8
63,MUSA Upper Level,,,,,,2,,,8
64,MUS 425,,,,,,2,,,8
65,EDUC 413,,,10,,,2,,,8
66,MUS 417,,,,,,2,,,8
67,MUS 421,,,10,56,,3,,,8
68,MUS 441,,,6,,,3,,,8
69,MUS 371,,,,,,2,,,8
70,MUS 498,,,,,,0,,,9
71,EDSP 411,,,,,,3,,,9
72,EDUC 447,,,,,,3,,,9
73,Ethics Course,,,,,,3,,,9
74,EDSC 483,,,,,,9,,,10
