Curriculum,Psychology,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,University of Nevada-Reno,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENG 101,,,,,,3,,,1
2,MATH/CO2,,,,,,3,,,1
3,Foreign Lang 1,,,,,,4,,,1
4,CO7,,,,,,3,,,1
5,PSY 101,,,,,,3,,,1
6,ENG 102,,,1,,,3,,,2
7,CO4L,,,,,,4,,,2
8,Foreign Lang 2,,,3,,,4,,,2
9,PSY 240,,,5,,,3,,,2
10,College Breadth,,,,,,3,,,2
11,CH 201 or 202,,,1,,,3,,,3
12,CO4L,,,,,,3,,,3
13,Foreign Lang 3,,,8,,,3,,,3
14,PSY Content,,,5,,,3,,,3
15,College Breadth,,,,,,3,,,3
16,CH 203,,,1,,,3,,,4
17,Foreign Lang 4,,,13,,,3,,,4
18,PSY Content,,,5,,,3,,,4
19,Minor,,,,,,3,,,4
20,CO9,,,,,,3,,,5
21,CO10,,,,,,3,,,5
22,PSY Content,,,5,,,3,,,5
23,PSY Content,,,5,,,3,,,5
24,Minor,,,,,,3,,,5
25,Minor,,,,,,3,,,5
26,CO14,,,,,,3,,,6
27,PSY Content,,,5,,,3,,,6
28,PSY Elective,,,5,,,3,,,6
29,Minor,,,,,,3,,,6
30,Elective,,,,,,3,,,6
31,CO11,,,,,,3,,,7
32,PSY Elective,,,5,,,3,,,7
33,Minor,,,,,,3,,,7
34,Elective,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,PSY Elective,,,5,,,3,,,8
37,Minor,,,,,,3,,,8
38,Elective,,,,,,3,,,8
39,Elective,,,,,,3,,,8
