Curriculum,Mechanical Engineering,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.1901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I w/ Applications,MATH,125,,,,3,,,1
2,Gen Chemistry I,CHEM,151,,,,4,,,1
3,First-year Comp.,ENGL,101,,,,3,,,1
4,Intro to Engineering,ENGR,102,,1,,3,,,1
5,Tier I General Ed.,,,,,,3,,,1
6,Calculus II,MATH,129,1,,,3,,,2
7,Intro. to MATLAB I,AME,105,1,,,1,,,2
8,Intro Mechanics,PHYS,141,1,,,4,,,2
9,First-year Comp.,ENGL,102,3,,,3,,,2
10,Programming for Eng. Apps.,ECE,175,,1,,3,,,2
11,Tier I General Ed.,,,,,,3,,,2
12,Statics,CE,214,8;6,,,3,,,3
13,Vector Calculus,MATH ,223,6,,,4,,,3
14,Electricity & Magnetism,PHYS,241,6;8,,,4,,,3
15,Comp. Aided Drafting & Manufacturing,AME,211,,,,3,,,3
16,Tier I General Ed.,,,,,,3,,,3
17,Thermodynamics,AME,230,8,,,3,,,4
18,Dynamics,AME,250,12,20,,3,,,4
19,Intro. to ODEs,MATH,254,13,,,3,,,4
20,Elements of Electrical Eng.,ECE,207,14,,,3,,,4
21,Intro. To MATLAB II,AME ,205,7,,,1,,,4
22,Tier I General Ed.,,,,,,3,,,4
23,Engineering Analysis,AME,301,20,,,3,,,5
24,Mech. Behavior of Eng. Materials.,AME ,324A,12,,,3,,,5
25,Intro. to Fluid Mechanics,AME ,331,17;18;19,,,3,,,5
26,Dynamics of Machines,AME,352,18,,,3,,,5
27,Tier II General Ed.,,,,,,3,,,5
28,Eng. Component Design,AME,324B,24,,,3,,,6
29,Instrumentation Lab.,AME,300,20;17,25,,3,,,6
30,Numerical Methods,AME,302,23;19,,,4,,,6
31,Fund. of Materials for Engineers,MSE,331R,,,,3,,,6
32,Machine Shop,AME,313,,,,1,,,6
33,Tier II General Ed.,,,,,,3,,,6
34,Cross-disciplinary Design,ENGR,489A,,,,3,,,7
35,Heat Transfer,AME,432,17;25,,,3,,,7
36,Senior Colloquium,AME,495S,,,,1,,,7
37,Senior Mechanical Lab.,AME,400,29,,,2,,,7
38,Mechanics of Materials Lab.,AME,324L,,24;31,,1,,,7
39,Technical Elective,,,,,,3,,,7
40,Technical Elective,,,,,,3,,,7
41,Cross-disciplinary Design,ENGR ,498B,34,,,3,,,8
42,Control System Design,AME ,455,18;23,29,,3,,,8
43,Technical Elective,,,,,,3,,,8
44,Technical Elective,,,,,,3,,,8
45,Tech Elective/Math Intensive Elec.,,,,,,3,,,8
