Curriculum,Mechanical Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.1901,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp.,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed.,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Intro. to MATLAB I,AME,105,1,,,1,,
8,Intro Mechanics,PHYS,141,1,,,4,,
9,First-year Comp.,ENGL,102,3,,,3,,
10,Programming for Eng. Apps.,ECE,175,,1,,3,,
11,Tier I General Ed.,,,,,,3,,
12,Statics,CE,214,8;6,,,3,,
13,Vector Calculus,MATH ,223,6,,,4,,
14,Electricity & Magnetism,PHYS,241,6;8,,,4,,
15,Comp. Aided Drafting & Manufacturing,AME,211,,,,3,,
16,Tier I General Ed.,,,,,,3,,
17,Thermodynamics,AME,230,8,,,3,,
18,Dynamics,AME,250,12,20,,3,,
19,Intro. to ODEs,MATH,254,13,,,3,,
20,Elements of Electrical Eng.,ECE,207,14,,,3,,
21,Intro. To MATLAB II,AME ,205,7,,,1,,
22,Tier I General Ed.,,,,,,3,,
23,Engineering Analysis,AME,301,20,,,3,,
24,Mech. Behavior of Eng. Materials.,AME ,324A,12,,,3,,
25,Intro. to Fluid Mechanics,AME ,331,17;18;19,,,3,,
26,Dynamics of Machines,AME,352,18,,,3,,
27,Tier II General Ed.,,,,,,3,,
28,Eng. Component Design,AME,324B,24,,,3,,
29,Instrumentation Lab.,AME,300,20;17,25,,3,,
30,Numerical Methods,AME,302,23;19,,,4,,
31,Fund. of Materials for Engineers,MSE,331R,,,,3,,
32,Machine Shop,AME,313,,,,1,,
33,Tier II General Ed.,,,,,,3,,
34,Cross-disciplinary Design,ENGR,489A,,,,3,,
35,Heat Transfer,AME,432,17;25,,,3,,
36,Senior Colloquium,AME,495S,,,,1,,
37,Senior Mechanical Lab.,AME,400,29,,,2,,
38,Mechanics of Materials Lab.,AME,324L,,24;31,,1,,
39,Technical Elective,,,,,,3,,
40,Technical Elective,,,,,,3,,
41,Cross-disciplinary Design,ENGR ,498B,34,,,3,,
42,Control System Design,AME ,455,18;23,29,,3,,
43,Technical Elective,,,,,,3,,
44,Technical Elective,,,,,,3,,
45,Tech Elective/Math Intensive Elec.,,,,,,3,,
