Curriculum,"Agricultural-Education, Agricultural Literacy Concentration",,,,,,,,,
Degree Plan,"Agricultural-Education, Agricultural Literacy Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"AGED 110","","",,,,3,"","",1
3,"AGED 220","","",,,,1,"","",1
4,"LIFE 102","","",,,,4,"","",1
5,"MATH 117","","",,,,1,"","",1
6,"MATH 118","","",,"5",,1,"","",1
7,"MATH 124","","",,"6",,1,"","",1
8,"AUCC 3B","","",,,,3,"","",1
9,"ANEQ 101","","",,,,4,"","",2
10,"CHEM 107","","",,"5",,4,"","",2
11,"CO 150","","",,,,3,"","",2
12,"FSHN 125","","",,,,2,"","",2
13,"AUCC 3B","","",,,,3,"","",2
14,"AREC 202","","","5",,,3,"","",3
15,"SPCM 200","","",,,,3,"","",3
16,"HDFS 101","","",,,,3,"","",3
17,"SOCR 100","","",,,,4,"","",3
18,"AUCC 3D","","",,,,3,"","",3
19,"EDUC 275","","",,,,3,"","",4
20,"FTEC 110","","",,,,3,"","",4
21,"FW 104","","",,,,3,"","",4
22,"SPCM 207","","","15",,,3,"","",4
23,"AUCC 3E","","",,,,3,"","",4
24,"AREC 328","","","14",,,3,"","",5
25,"AREC 478","","","14",,,3,"","",5
26,"AGRI 116/IE 116","","",,,,3,"","",5
27,"JTC 300","","","11",,,3,"","",5
28,"UD ELECTIVE 1","","","9",,,3,"","",5
29,"ANEQ 250","","","9",,,3,"","",6
30,"HORT 100","","",,,,4,"","",6
31,"JTC 419","","",,,,3,"","",6
32,"AGRI 330/PHIL 330","","","11",,,3,"","",6
33,"UD ELECTIVE 2","","","9",,,3,"","",6
34,"AGED 330","","",,,,3,"","",7
35,"JTC 350","","",,,,3,"","",7
36,"UD ELECTIVE 3","","","9",,,3,"","",7
37,"UD ELECTIVE 4","","","14",,,3,"","",7
38,"UD ELECTIVE 5","","","14",,,2,"","",7
39,"AGED 430","","",,,,3,"","",8
40,"AGED 486A","","",,,,2,"","",8
41,"AREC 340","","",,,,3,"","",8
42,"UD ELECTIVE 6","","","14",,,2,"","",8
43,"UD ELECTIVE 7","","","9",,,3,"","",8
