Curriculum,"Biochemistry, Pre-Pharmacy Concentration",,,,,,,,,
Degree Plan,"Biochemistry, Pre-Pharmacy Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BC 192","","",,,,2,"","",1
2,"CHEM 111","","",,,,4,"","",1
3,"CHEM 112","","",,"2",,1,"","",1
4,"LIFE 102","","",,,,4,"","",1
5,"MATH 155","","",,,,4,"","",1
6,"CHEM 113","","","2;5",,,3,"","",2
7,"CHEM 114","","",,"6",,1,"","",2
8,"CO 150","","",,,,3,"","",2
9,"LIFE 201B","","","4",,,3,"","",2
10,"LIFE 203","","",,"9",,2,"","",2
11,"MATH 255","","","5",,,4,"","",2
12,"CHEM 341","","","6",,,3,"","",3
13,"ECON 202","","","5",,,3,"","",3
14,"LIFE 210","","","4;2;3",,,3,"","",3
15,"LIFE 212","","","3","14",,2,"","",3
16,"SPCM 200","","",,,,3,"","",3
17,"CHEM 343","","",,,,3,"","",4
18,"CHEM 344","","","7","17",,2,"","",4
19,"BMS 300","","","4;2",,,4,"","",4
20,"PH 121","","","5",,,5,"","",4
21,"BC 401","","","17;5",,,3,"","",5
22,"BMS 302","","","19",,,2,"","",5
23,"PH 122","","","20",,,5,"","",5
24,"STAT 301","","","5",,,3,"","",5
25,"AUCC 3B","","",,,,3,"","",5
26,"BC 403","","","12",,,3,"","",6
27,"BMS 301","","","4",,,5,"","",6
28,"MIP 300","","","4;12",,,3,"","",6
29,"MIP 302","","",,"28",,2,"","",6
30,"ADVANCED WRITING","","","8",,,3,"","",6
31,"BC 404","","","21;15;18",,,2,"","",7
32,"BC 411","","","11;6",,,4,"","",7
33,"BC 493","","",,,,1,"","",7
34,"AUCC 3B","","",,,,3,"","",7
35,"ELECTIVE 1","","",,,,4,"","",7
36,"AUCC 3C","","",,,,3,"","",8
37,"BC 499A","","",,,,3,"","",8
38,"AUCC 3D","","",,,,3,"","",8
39,"AUCC 3E","","",,,,3,"","",8
40,"ELECTIVE 2","","",,,,3,"","",8
