Curriculum,"Biological Science, Botany Concentration",,,,,,,,,
Degree Plan,"Biological Science, Botany Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BZ 110","","",,,,3,"","",1
2,"BZ 111","","",,,,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"AUCC 3B","","",,,,3,"","",1
5,"MATH 117","","",,,,1,"","",1
6,"MATH 118","","",,"5",,1,"","",1
7,"MATH 124","","",,"6",,1,"","",1
8,"MATH 125","","",,"7",,1,"","",1
9,"BZ 120","","",,,,4,"","",2
10,"CHEM 111","","","6",,,4,"","",2
11,"CHEM 112","","",,"10",,1,"","",2
12,"MATH 155","","","7;8",,,4,"","",2
13,"AUCC 3D","","",,,,3,"","",2
14,"ELECTIVE 1","","",,,,3,"","",2
15,"ATS 350","","",,,,2,"","",3
16,"BZ 220","","","1",,,3,"","",3
17,"CHEM 113","","","10;12",,,3,"","",3
18,"CHEM 114","","",,"17",,1,"","",3
19,"AUCC 3B","","",,,,3,"","",3
20,"ELECTIVE 2","","",,,,2,"","",3
21,"ESS 210","","",,,,3,"","",4
22,"CHEM 245","","","17",,,4,"","",4
23,"CHEM 246","","","18","22",,1,"","",4
24,"STAT 301","","","12",,,3,"","",4
25,"AUCC 3C","","",,,,3,"","",4
26,"ELECTIVE 3","","",,,,2,"","",4
27,"BC 401","","","22;12",,,3,"","",5
28,"BZ 331","","","9",,,4,"","",5
29,"PH 121","","","12",,,5,"","",5
30,"BC 403","","","22",,,3,"","",6
31,"BZ 325","","","16",,,4,"","",6
32,"BZ 440","","","9",,,3,"","",6
33,"BZ 441","","",,"32",,2,"","",6
34,"PH 122","","","29",,,5,"","",6
35,"BZ 310","","","17;1",,,4,"","",7
36,"BZ 332","","","9",,,4,"","",7
37,"ADVANCED WRITING","","","3",,,3,"","",7
38,"ELECTIVE 4","","",,,,2,"","",7
39,"BZ 332","","","9",,,4,"","",8
40,"BZ 350","","","24;1",,,4,"","",8
41,"BZ 450","","","9",,,4,"","",8
42,"AUCC 3E","","",,,,3,"","",8
